"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway","","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"9.","EAST    
CHAMPARAN 
 (4)","","","","Station","","","","","",""
"","1.","2.","3.","4","5.","","6.","7.","8.","9.","10."
"1.","APMC, Chakia","RPM","RCG","PRC","Chakia","","3","Paddy, Rice 
(Basmati Rice), 
Sugarcane, Pulses","No 
Phone","NO","A.P.M.C.,  Chakia."
"2.","APMC, Motihari","RPM","CSC-2, 
MCG-2","PRC","Motihari","","2","Paddy, Rice, 
Sugarcane, Pulses","06252-
222956","NO","A.P.M.C., Motihari."
"3.","APMC, Raxaul","RPM","PSG","PRC","Raxaul","","2","Rice, Wheat, 
Sugarcane, 
Vegetable","06255-
261174","NO","A.P.M.C., Raxaul."
"4.","APMC, 
Narkatiaganj","RPM","RCG","NO","Narkatiganj","","2","Paddy, Rice, Jute, 
Sugarcane","06253-
242251","NO","A.P.M.C., Narkatiaganj."
"10.","GAYA 
(3)","","","","","","","","","",""
"1.","APMC,  Gaya","RPM","MCG","PRC","Gaya","4","","Paddy, Wheat, 
Potato, Pulses","0631-
2421533","NO","A.P.M.C.,  Gaya"
"2.","Gurua","RSM","NIL","NIL","NIL","NIL","","Paddy, Wheat, 
Potato, Pulses","NIL","NO","NIL"
"3.","APMC, Sherghati","RPM","NIL","PRC","NIL","NIL","","NIL","No 
Phone","Nil","A.P.M.C., Sherghati."
