"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"16.","KAIMUR 
 (8)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Adhova","RSM","PSG","PRC","NIL","NIL","Paddy, Rice, 
Wheat, Pulses","06187-22228","06187-
22228","A.P.M.C.,  Mohania."
"2.","Bhabhua Anchal","RSM","PSG","NO","NIL","NIL","- do -","NIL","NIL","- do -"
"3.","Bhagawanpur","RSM","PSG","PRC","NIL","NIL","- do -","NIL","NIL","- do -"
"4.","Chand","RSM","PSG","PRC","NIL","NIL","- do -","NIL","NIL","- do -"
"5.","Chainpur","RSM","PSG","PRC","NIL","NIL","- do -","NIL","NIL","- do -"
"6.","Kudra","RSM","PSG","PRC","NIL","NIL","- do -","NIL","NIL","- do -"
"7.","Rice Mill","RSM","PSG","PRC","NIL","NIL","- do -","NIL","NIL","- do -"
"8.","Mohania","RPM","PSG, 
SFG, 
CSC, 
CWG","NO","Mohania","5","- do -","NIL","NIL","- do -"
"17.","LAKHISARAI 
(1)","","","","","","","","",""
"1.","APMC., 
Lakhisarai.","RPM 
MCG 
PRC 
Lakhisarai 
3 
Paddy, Wheat, 
06346-
NO 
A.P.M.C.,  Lakhisarai 
Vegetables, Pulses 
232039","","","","","","","",""
