"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"30.","SAMASTIPUR 
(7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Dalsinghsarai","RPM","PSG","PRC-2","Dalsinghsar
ai","2","Spices, Paddy, Pulses, 
Wheat","-","NIL","A.P.M.C.,   Dalsingh sarai."
"2.","Rosera","RPM","PSG","NIL","Rosera","1","Paddy, Wheat, Maize, 
Chillies, Turmeric","06275-
222277","NIL","A.P.M.C.,  Rosera."
"3.","Saidpur Hat","RPM","PSG","PRS  
(2 Nos)","Pusa Road","10","Paddy, Spices 
(Turmeric/ Chillies), 
Wheat, Vegetables","NIL","NIL","A.P.M.C.,  Saidpurhat."
"4.","Samastipur","RPM","MCG-
18","PRC, 
CSC","Samastipur","6","Spices, i) Turmeric 
ii) Chillies, Paddy, 
Pulses, Wheat","06274-
222101","NIL","A.P.M.C.,  Near Muktapur, 
Samastipur"
"5.","Mohadinagar 
Bazar","RSM","PSG","NIL","NIL","NIL","Paddy, Vegetables, 
Spices, Wheat, Pulses","NIL","NIL","NIL"
"6.","Patauri Bazar","RSM","PSG","NIL","NIL","NIL","- do -","NIL","NIL","NIL"
"7.","Sahpur Patauri","RPM","PSG","NIL","Sohpur 
Patori","0.5","- do -","NIL","NIL","A.P.M.C.,  Sohpur Patori."
"31.","SHEIKHPURA 
(1)","","","","","","","","",""
"1.","Sheikhpura","RPM 
RCG 
NIL 
Sheikhpura 
2 
Paddy/Rice, Wheat, 
06341-
NIL 
A.P.M.C.,   Sheikhpura. 
Onion, Pulses 
223240","","","","","","","",""
