"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"14.","KATIHAR 
 (9)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","KATIHAR","RPM","SWC, 
PSG","PRC","Katihar","3","Maize, Groudnut, 
Vanaspati","06452-22612","NO","A.P.M.C.,  Katihar."
"2.","Ahmadabad","RSM","PSG","NIL","- do -","10","Foodgrains, 
Vegetables","NIL","NIL","NIL"
"3.","Barai Hat","RSM","NIL","NIL","- do -","25","Vegetable oil","NIL","NIL","NIL"
"4.","Gedabari Hat","RSM","NIL","NIL","- do -","30","Foodgrains","NIL","NIL","NIL"
"5.","Gram 
Mahadeopur","RSM","NIL","NIL","- do -","20","Vegetables oil","NIL","NIL","NIL"
"6.","Manihari","RSM","PSG","NIL","- do -","30","Foodgrains, 
Vegetables oil","NIL","NIL","NIL"
"7.","Phalwa","RSM","PSG","NIL","- do -","8","Foodgrains","NIL","NIL","NIL"
"8.","Sempur Hat.","RSM","PSG","NIL","- do -","10","Foodgrains, 
Vegetables oil","NIL","NIL","NIL"
"9.","Barsoi","RPM","PSG","NO","Barsoi","5","Rice, Wheat, 
Ground Spices, 
Vegetables oil","06452-40326","NO","A.P.M.C.,   Barsoi."
"15.","KHAGARIA 
(1)","","","","","","","","",""
"1.","APMC., 
Khagaria","RPM 
MCG 
PRC 
Khagaria 
3 
Paddy, Wheat, 
06244-
NO 
A.P.M.C.,  Khagaria. 
Maize, Jute 
222098","","","","","","","",""
