"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"16.","JAIPUR 
(10)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bandikui","RPM","Nil","Nil","Bandikui","1","Wheat, Mustard, Bajra, Cluster 
bean","22067","Yes","KUMS, Bandikui"
"2.","Dausa","- do -","- do -","- do -","Dausa","1","Wheat, Cluster bean, Barley, 
Bajra","30078","Yes","KUMS, Dausa"
"3.","Lalsot","- do -","- do -","- do -","- do -","40","Wheat, Groundnut, Mustard, 
Cluster bean","22010","Nil","KUMS, Lalsot"
"4.","Mahua 
Mandawar","- do -","- do -","- do -","Mandawar","2","Wheat, Mustard, Bajra, Gram","60436","- do -","KUMS,  Mahua 
Mandawar"
"5.","Chapsu","- do -","SWG","- do -","Chapsu","3","Mustard, Cluster bean, G.nut, 
Barley","44223","- do -","KUMS, Chapsu"
"6.","Chomu","- do -","Nil","- do -","Chomu","4","Barley, G.nut, Bajra, Gram","20047","Yes","KUMS, Chomu"
"7.","Jaipur (F&V)","- do -","- do -","- do -","Gandhinagar, 
Jaipur","1","Fruits, Vegetabes,","743481, 
742002","Nil","KUMS, Jaipur (F&V)"
"8.","Jaipur (Grain)","- do -","SWG","- do -","Jaipur","8","G.nut, Barley, Bajra, Gram","640749, 
369891","- do -","KUMS, Jaipur (Grain)"
"9.","Kishangarh 
Rajnwal","- do -","Nil","- do -","Kishangarh 
Rajnwal","1","Barley, Bajra, Mustard, Cluster 
bean","20210","- do -","KUMS, Kishangarh 
Rajnwal"
"10.","Kotputli","- do -","- do -","- do -","Nimkathana","50","- do -","22096","- do -","KUMS, Kotputli"
"17.","JAISALMER 
(1)","","","","","","","","",""
"1.","Jaisalmer","RPM 
Nil 
Nil 
Jaisalmer 
1 
Bajra, Mustard, Cluster bean, 
52730 
Nil 
KUMS, Jaisalmer 
Wheat","","","","","","","",""
"18.","JALORE (3)","","","","","","","","",""
"1.","Bhinmal","RPM","Nil","Nil","Bhinmal","1","Bajra, Maize, Green gram, 
Mustard","20090","Yes","KUMS, Bhinmal"
"2.","Jalore","- do -","- do -","- do -","Jalore","1.5","Mustard, Bajra, Maize, Cluster 
bean","32346","Nil","KUMS, Jalore"
"3.","Sanchore","- do -","- do -","- do -","Sanchore","1","Mustard, Bajra, Taramira","22015","- do -","KUMS, Sanchore"
