"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"18.","PATAN  
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Becharaji","RSM","NIL","NIL","Becharaji","1","Wheat, Bajra, 
Cotton, Castor","NIL","NIL","APMC,  Chanasma 
Post, Becharaji-384210."
"2.","Chanasma","RPM","NIL","NIL","Chanasma","0.25","-do-","02734-
22016","NIL","APMC,          
Chanasma-384220"
"3.","Harij","RPM","MCG, SWG","NIL","Harij","0.25","Bajra, Cotton, 
Castor, Wheat","02733-
23045","NIL","APMC,  Harij-384240."
"4.","Harij (Veg.)","RSM","NIL","NIL","- do -","1","Potato, Onion 
Tomato, Brinjal","NIL","NIL","APMC,  Harij-384240."
"5.","Harij (Animal)","RSM","NIL","NIL","- do -","1","Cow, Baffalo 
Sheep,. Goat","NIL","NIL","APMC,  Harij-384240."
"6.","Patan","RPM","MCG, SWG","NIL","Patan","0","Bajra, Mustard 
Mustard, Cumin","02766-
22296","NIL","APMC,  Patan-384265."
"7.","Patan (Veg.)","RSM","NIL","NIL","- do -","0","Potato, Onion 
Tomato, Chillies","NIL","NIL","APMC,  Patan384265."
"8.","Radhanpur","RPM","NIL","NIL","Radhanpur","0","Bajra, Cotton 
Castor, Wheat","02746-
77202","NIL","APMC,           
Raadhanpur-385340."
"9.","Sidhpur","RPM","MCG, SWG","PRC","Sidhpur","0.5","Cumin, Isabgol 
Mustard, Wheat","02767-
20082","NIL","APMC,  
             
Sidhpur-384151."
"10.","Sami","RPM","NIL","NIL","Harij","16","Cotton, Wheat 
Castor, Jowar","02733-
44328","YES","APMC,  Sami-384245."
"11.","Sami (Animal)","RSM","NIL","NIL","- do -","16","Sheep, Goat 
Cow, Buffalo","NIL","NIL","APMC,  Sami-384245."
"12.","Varahi","RPM","MCG","NIL","Varahi","0","Cotton, Wheat 
Groundnut, Mustard","02738-
24164","NIL","APMC,  
             
Varahi-385360."
"13.","Varahi (Animal)","RSM","NIL","NIL","- do -","0","Goat, Sheep 
Buffalo, Cow","NIL","NIL","APMC,  
             
Varahi-385360."
