"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"4.","BANASKANTHA 
 (23)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"13.","Paldi","RSM","NIL","NIL","Bhabhar","21","Wheat, Castor, Jowar, 
Greengram","NIL","NIL","APMC, Bhabhar, Post 
Paldi."
"14.","Panthavada","RPM","NIL","NIL","Palanpur","30","- do -","NIL","NIL","APMC,       
Panthavada-385546"
"15.","Raha","RSM","NIL","NIL","Disa","45","Wheat, Jawar, Bajra, 
Castor","NIL","NIL","APMC,  Tharad  Post,  
Raha."
"16.","Samavada (Cattle)","RSM","NIL","NIL","Dhanera","25","Cow, Camel","NIL","NIL","APMC,  Dhanera  Post, 
Samavada"
"17.","Sihori","RSM","NIL","NIL","Bhildi","20","Musterd, Wheat, Bajra, 
Jowar","NIL","NIL","APMC,  Thara  Post,  
Sihori-385550"
"18.","Thara","RPM","MCG,CSC","NIL","Deodhar","18","Castor, Bajra, Mustard, 
Jowar","02747-
22019","NIL","APMC,  Thara-385555"
"19.","Tharad","RPM","MCG,CSC","NIL","Disa","60","- do -","02737-
22083","NIL","APMC,  
             
Tharad-385565"
"20.","Tharad (Cattle)","RSM","NIL","NIL","Disa","60","Cow, Goat, Sheep, Camel","NIL","NIL","- do -"
"21.","Un","RSM","NIL","NIL","Radhanpur","16","Bajra, Mustard, Jowar, 
Wheat","NIL","NIL","APMC, Thara  Post,  
Un-385560"
"22.","Vav","RPM","NIL","NIL","Radhanpur","40","- do -","NIL","NIL","APMC,  Vav-385575"
"23.","Vadgam","RSM","NIL","NIL","Palanpur","14","- do -","NIL","NIL","APMC,  Palanpur  Post, 
Vadgam-385410"
