"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"21.","SABARKANTHA 
(29)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"16.","Kundlakampa","RSM","NIL","NIL","Idar","42","Cotton, Wheat, Blackgram, 
Redgram","NIL","NIL","APMC,  Bhiloda Post, 
Kundlakampa."
"17.","Lambadia","RSM","NIL","NIL","Khedbrahma","13","-do-","NIL","NIL","APMC,  Khedbrahma 
Post, Lambadia"
"18.","Malpur","RPM","MCG","NIL","Talod","67","Wheat, Bajra, 
G.Nut, Cotton","NIL","NIL","APMC,  Malpur-
383345"
"19.","Modasa","RPM","MCG","NIL","Dhansura","45","G.Nut, Cotton, 
Gram, Redgra,","02774-
46601","NIL","APMC, Modasa-
383315."
"20.","Meghraj","RPM","MCG","NIL","Talod","70","Cotton, Wheat, 
Bajra, Redgram","02773-
44429","NIL","APMC,  Meghraj-
383350."
"21.","Poshina","RSM","NIL","NIL","Khedbrahma","15","Onion, Chillies, 
Potato, Brinjal","NIL","NIL","APMC,  Khedbrahma, 
Poshina-383422."
"22.","Prantij","RSM","NIL","NIL","Prantij","0","-do-","02770-
30673","NIL","APMC,  Modesa, Post, 
Prantij-383205"
"23.","Raillawada","RSM","NIL","NIL","Talod","65","-do-","NIL","NIL","APMC,  Meghraj,  
Post, Raillavada."
"24.","Sathamba","RSM","NIL","NIL","Kapadwanj","35","Cotton, G.Nut , 
Wheat, Bajra","NIL","NIL","APMC,  Bayad,  Post, 
Sathamba-383340."
"25.","Salal","RSM","SWG","NIL","Talod","10","G.Nut, Castor , 
Paddy, Wheat","NIL","NIL","APMC,  Bayad Post, 
Malpore,  Salal-
383120."
"26,","Talod","RPM","MCG, SWG","PRC","- do -","0","Cotton, Castor , 
Paddy, Bajra","02770-
373215","NIL","APMC, Talod-383215."
"27.","Tenpur","RSM","NIL","NIL","Kapadwanj","35","-do-","NIL","NIL","APMC, Boyad Post, 
Tenpur."
"28.","Tunkoi","RSM","NIL","NIL","Dhansura","44","-do-","NIL","NIL","APMC,  Modasa Post,  
Tunkoi-383218."
"29.","Vadali","RPM","NIL","NIL","Idar","1","Wheat, Bajra , 
Maize, Sesamum","NIL","NIL","APMC,  Vadali-
383235."
