"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"16.","NAVSARI 
(12)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Amalsad","RSM","NIL","NIL","Amalsad","0","Paddy, Wheat, 
Jowar, Vegetable","NIL","NIL","APMC,  Devsar Post, 
Amalsad-396310."
"2.","Anklachh","RSM","NIL","NIL","Unai Vansda 
Road","10","Paddy, Wheat, Jowar, 
Vegetable","NIL","NIL","APMC,  Vansda Post, 
Anklachh."
"3.","Chikhli","RPM","MCG","NIL","Bilimora","8","Paddy, Jowar, 
Mango, Rice","02634-
32341","NIL","APMC,              
Chikhli-396521."
"4.","Devsar","RPM","NIL","NIL","-do-","5","Paddy, Mang o, 
Sapota, Vegetable","02634-
86760","NIL","APMC,               
Devsar-396380"
"5.","Gandevi","RSM","NIL","NIL","-do-","4","Paddy, Mang o, Sapota, 
Vegetable","02634-
83760","NIL","APMC,  Devsar Post, 
Gandevi-396360."
"6.","Kamboya","RSM","NIL","NIL","-do-","8","Paddy, Groundnut, 
Jowar, Vegetable","NIL","NIL","APMC,  Vansda Post, 
Kamboya."
"7.","Khergam","RSM","NIL","NIL","-do-","8","Cotton, Chiku, 
Paddy, Vegetab le","NIL","NIL","APMC,  Chikhli Post, 
Khergam-396040."
"8.","Limjhar","RSM","NIL","NIL","-do-","25","Cotton, Paddy, 
Jowar, Greengram","NIL","NIL","APMC, 
              
Limjhar-396585."
"9.","Rankuva","RSM","NIL","NIL","Rankuva","2","Paddy, Jowar, 
Mango, Rice","NIL","NIL","APMC,  Chikhli Post, 
Rankuva-396560"
"10.","Unai","RSM","NIL","NIL","Unai Vansda 
Road","8","Cotton, Wheat, 
Bajra,  Potato","NIL","NIL","APMC,  Vansda Post, 
Unai-396590."
"11.","Viraval","RPM","NIL","PRC","Navsari","6","Cotton, Wheat, 
Bajra,  Potato","02637-
43762","NIL","APMC,  Viraval."
"12.","Vansda","RPM","NIL","NIL","Unai Vansda 
Road","5","Paddy,  Mang o 
Wheat, Chillies","02630-
22241","NIL","APMC,  
             
Vansda-396580."
