"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"14.","MEHSANA 
(18)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"10.","Mehsana (Veg.)","RSM","NIL","NIL","Mehsana","0.5","Potato, Lemon 
Chillies, Onion","NIL","NIL","APMC,            
Mehsana-384001."
"11.","Nandasan","RSM","NIL","NIL","Kadi","11","Rai, Castorseed 
Wheat, Bajra","NIL","NIL","APMC,  Kadi Post, 
Nandasan-382706."
"12.","Satlasana","RSM","NIL","NIL","Kheralu","30","Castorseed. Mustard 
Wheat, Bajra","NIL","NIL","APMC, Vadnagar Post, 
Satlasana-384330."
"13.","Unjha","RPM","SWG","PRC","Unjha","0","Cumin,Fennel, 
Fennugreek, Isabgol","02767-
52518","NIL","APMC,Unjha-384170"
"14.","Unava","RSM","SWG","NIL","Unjha","5","Potato, Bajra 
Cotton, Onion","02767-
54250","NIL","APMC, Unjha Post, 
Unava-384160."
"15.","Vaadnagar","RPM","MCG","NIL","Vadnagar","0.5","Wheat, Bajra 
Groundnut, Cumin","02761-
22046","NIL","APMC, 
              
Vadnagar-384355."
"16.","Vijapur","RPM","MCG","PRC","Vijapur","0","Bajra, Cotton  
Wheat, Castorseed","02763-
20190","NIL","APMC,              
Vijapur-382870."
"17.","Vijapur (Veg.)","RSM","NIL","NIL","Vijapur","0","Potato, Onion 
Brinjal, Tomato","","NIL","APMC,  
             
Vijapur-382870."
"18.","Visnagar","RPM","MCG, 
SWG","PRC","Visnagar","0.5","Mustard, Wheat 
Castor seed, Bajra","02765-
31165","NIL","APMC, 
              
Visnagar-384315."
