"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"1.","AHMEDABAD 
 (19)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Barvala","RSM","NIL","NIL","Bhimnath","10","Wheat, Jowar, Rai, Bajra","NIL","NIL","APMC, Dhandhuka, 
Post, Barvala- 382450"
"2.","Bavla","RPM","MCG,CSC, 
SWG","PRC","Bavla","1","Paddy, Cotton, Wheat, 
Redgram","02714-
32234","NIL","APMC, Bavla-382220"
"3.","Dhandhuka","RPM","MCG,CSC, 
SWG","NIL","Dhandhuka","1","Potato, Bajra, Cotton, 
Wheat","02713-
22357","NIL","APMC,        
Dhandhuka-382460"
"4.","Dholera","RSM","NIL","NIL","Dhandhuka","27","Potato, Bajra, Cotton, 
Wheat","NIL","NIL","APMC, Dhandhuka, 
Post, Dholera-382455"
"5.","Dholka","RPM","NIL","PRC","Dholka","1","Cotton, Wheat, Paddy, Bajra","NIL","NIL","APMC,Dholka-387810"
"6.","Dholka (Veg.)","RSM","NIL","NIL","Dholka","1","Potato, Onion, Tomato, 
Brinjal","NIL","NIL","APMC, Dholka-387810"
"7.","Kalupur Keri 
Pitha","RSM","NIL","NIL","Ahmedabad","1","Potato, Onion, Chillies, 
Brinjal","NIL","NIL","APMC, Kalupur Keri 
Pith,            
Ahmedabad-380002"
"8.","Katosam","RSM","NIL","NIL","Katosam 
Road","1","Cotton, Groundnut, Paddy, 
Bajra","NIL","NIL","APMC, Viramgam 
Post, Katosam"
"9.","Koth","RSM","NIL","NIL","Koth","2","Wheat, Cotton, Redgram, 
Bajra","NIL","NIL","APMC, Dhandhuka, 
Post, Koth-382240"
"10.","Mandal","RSM","NIL","NIL","Rampur","23","Cotton, Groundnut, Paddy, 
Bajra","NIL","NIL","APMC, Viramgam, 
Mandal."
