"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"21.","SABARKANTHA 
(29)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Aamodra","RSM","NIL","NIL","Nadiad","40","G.Nut, Wheat, Cotton, 
Jowar","NIL","NIL","APMC,  Bayad Post, 
Aamodra."
"2.","Aakurand","RSM","NIL","NIL","- do -","45","--do-","NIL","NIL","APMC,  Bayad Post, 
Aakurand-383260"
"3.","Bayad","RPM","MCG","PRC","- do -","30","G.Nut, Cotton, Wheat, Bajra","02779-
20023","NIL","APMC,  Bayad-383325"
"4.","Bhiloda","RPM","MCG","NIL","Idar","30","Wheat, Maize, Blackgram, 
Greengram","02771-
2099","NIL","APMC, 
              
Bhiloda-383245"
"5.","Deshotar","RSM","NIL","NIL","- do -","15","Cotton, G.Nut , Wheat, 
Bajra","NIL","NIL","APMC,   Idar Post,  
Dishotar."
"6.","Dhansura","RSM","NIL","NIL","Dhansura","2","-do-","NIL","NIL","APMC,  Modasa Post, 
Dhansura-383310"
"7.","Demai","RSM","NIL","NIL","Talod","50","-do-","NIL","NIL","APMC,  Himatnagar 
Post, Demai-383330"
"8.","Ganbhoi","RSM","NIL","NIL","Himatnagar","10","-do-","NIL","NIL","APMC, Bayad Post, 
Ganbhai."
"9.","Gobat","RSM","NIL","NIL","Dhansura","25","-do-","NIL","NIL","APMC,  Bayad Post, 
Gobat"
"10.","Himatnagar","RPM","CSC, MCG, 
SWG","PRC","Himatnagar","0","Cotton, Wheat, Bajra, 
Castor","02772-
45078","NIL","APMC,             
Himatnagar-383001."
"11.","Hido (Veg.)","RSM","NIL","NIL","- do -","0","Potato, Onion, Tomato, 
Brinjal","NIL","NIL","APMC,  Himatnagar."
"12.","Harsol","RSM","NIL","NIL","Talod","7","Cotton, G.Nut, Wheat, Bajra","NIL","NIL","APMC, Talol Post, 
Harsol-383305."
"13.","Idar","RPM","MCG, SWG","NIL","Idar","0","Wheat, Cotton, Bajra, 
Castor","02778-
50042","NIL","APMC, Idar-383450."
"14.","Jadar","RSM","","NIL","Jadar","0","Cotton, Wheat, Castor, 
Blackgram","NIL","NIL","APMC, Idar Post, 
Jadar-383130"
"15.","Khedbrahma","RPM","MCG","NIL","Khedbrahma","0","Cotton Wheat, Blackgram, 
Redgram","02775-
20054","NIL","APMC,          
Khedbrahma-383255."
