"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"11.","JUNAGADH 
 (15)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bhesan","RPM","NIL","NIL","Visavdar","40","NIL","NIL","NIL","APMC,       
        
Bhesan-362020"
"2.","Dolasa","RSM","NIL","NIL","Kodinar","20","Jowar, Wheat, Groundnut, 
Greengram","NIL","NIL","APMC,  Kodinar Post,  
Dolasa"
"3.","Junagadh","RPM","MCG,CSC, 
SWG","PRC","Junagadh","1","Bajra, Cotton, Groundnut, 
Jaggery","0285-
660281","NIL","APMC,               
Jungadh-362001"
"4.","Junagadh (V)","RSM","NIL","NIL","- do -","1","Potato, Onion, Brinjal, 
Tomato","NIL","NIL","- do -"
"5.","Keshod","RPM","MCG","NIL","Keshod","2","Bajra, Jowar, Groundnut, 
Cotton","NIL","NIL","APMC,  
             
Keshod-362229"
"6.","Kodinar","RPM","MCG","NIL","Kodinar","0.5","Bajra, Wheat, Cotton, 
Groundnut","02795-
20481","NIL","APMC,            
Kodinar-362720"
"7.","Madhiya Hatina","RPM","MCG","NIL","Madhiya 
Hatina","3","Bajra, Jowar, Groundnut, 
Jaggery","NIL","NIL","APMC,  Madhiya 
Hatina."
"8.","Mana Vadar","RPM","MCG,SWG","NIL","Keshod","35","Wheat, Bajra, Groundnut, 
Cotton","02874-
21746","NIL","APMC,  
             
Mana Vadar-362630"
"9.","Mangrol","RPM","MCG","NIL","Veraval","37","Bajra, Jowar, Cotton, 
Groundnut","02874-
22346","NIL","APMC,  
             
Mangrol-362225"
"10.","Mendarda","RPM","NIL","NIL","Junagadh","27","NIL","NIL","NIL","APMC,  
             
Mendarda-362260"
"11.","Talala","RPM","NIL","NIL","Talala","0","NIL","02877-
22484","NIL","APMC,  Talala-362150"
"12.","Una","RPM","MCG","NIL","Una","1","Groundnut, Wheat, 
Jaggery, Bajra","02875-
31612","NIL","APMC, Una-362560"
"13.","Vanthali","RPM","NIL","NIL","Junagadh 1","18","NIL","NIL","NIL","APMC,. 
             
Vanthali-362610"
"14.","Visavdar","RPM","NIL","NIL","Visavdar","3","NIL","02873-
22302","NIL","APMC,  
             
Visavdar-362130."
"15.","Veraval","RPM","FCG","NIL","Veraval","0.5","NIL","02876-
23449","NIL","APMC,  
             
Veraval-362265."
