"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"9.","GANDHINAGAR 
 (11)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Charada","RSM","NIL","NIL","Lodra","8","Wheat Bajra, Cotton, 
Castor","NIL","NIL","APMC, Mansa Post, 
Charada-382810"
"2.","Chiloda","RSM","NIL","NIL","Gandhinagar","15","Wheat, Bajra, Castor, 
Mustard","NIL","NIL","APMC Randheja Post, 
Chiloda"
"3.","Dehegam","RPM","MCG","NIL","Dahegam","2","Wheat, Bajra, Castor, 
Rapeseed","02716-
32612","NIL","APMC,  Dahegam-
382305"
"4.","Gandhinagar","RSM","FCG, CWG","NIL","Gandhinagar","3","Castor, Mustard, Bajra, 
Wheat","NIL","NIL","APMC,  Gandhinagar"
"5.","Kalol","RPM","MCG","PRC","Kalol","1","Castor, Bajra, Wheat, 
Mustard","02764-
52455","NIL","APMC,  Kalol-382721"
"6.","Kalol (Veg.)","RSM","NIL","NIL","- do -","1","Potato, Onion, Brinjal, 
Chillies","NIL","NIL","APMC,  Kalol-382721"
"7.","Lodra","RSM","NIL","NIL","Lodra","0.5","Castor, Bajra, Wheat, 
Mustard","NIL","NIL","APMC, Mansa Post, 
Lodra-382835"
"8.","Mansa","RPM","NIL","PRC","Vijapur","25","Wheat, Bajra, Castor, 
Mustard","02763-
72741","NIL","APMC,  Mansa-382845"
"9.","Monsa (Veg.)","RSM","NIL","NIL","- do -","25","Potato, Onion, Brinjal, 
Chillies","NIL","NIL","APMC,  Mansa"
"10.","Radheja","RPM","NIL","NIL","Radheja","0","Castor, Mustard, Bajra, 
Wheat","02712-
72347","NIL","APMC, Radheja"
"11.","Rakhial","RSM","MCG, SWG","PRC","Rakhial","2","Bajra, Wheat, Castor, 
Rapeseed","NIL","NIL","APMC, Dahegam Post, 
Rakhial"
