"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"4.","BANASKANTHA 
 (23)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Ambaji","RSM","NIL","NIL","Abu Road","30","Groundnut, Bajra, Wheat, 
Gingili","NIL","NIL","APMC, Palampur Post,  
Ambaji-385110"
"2.","Bhabhar","RPM","MCG","NIL","Bhabhar","1","- do -","22048","NIL","APMC,             
Bhabhar-385320"
"3.","Bhildi","RSM","NIL","NIL","Bhildi","0","- do -","NIL","NIL","APMC,  Deesa Post,  
Bhildi-385530"
"4.","Disa","RPM","MCG,CSC,
SWG","PRC, 
PSC","Disa","2","- do -","02744-
20072","NIL","APMC,  Disa-385535"
"5.","Dhanera","RPM","MCG, CSC","NIL","Dhanera","1","Groundnut, Bajra, Jowar, 
Wheat","02748-
22433","NIL","APMC,               
Dhanera-385310"
"6.","Disa (Veg.)","RSM","NIL","NIL","Disa","2","Potato, Onion, Tomato, 
Brinjal","NIL","NIL","APMC,  Disa-385535"
"7.","Disa (Cattle)","RSM","NIL","NIL","Disa","2","Cow, Goat","NIL","NIL","APMC, Disa-385535"
"8.","Deodhar","RSM","NIL","NIL","Deodhar","0","Mustard, Barja, Greengram, 
Jowar","NIL","NIL","APMC, Bhabhar Post,  
Deodhar-385330"
"9.","Ikbalgarh","RSM","NIL","NIL","Ikbalgarh","0","- do -","NIL","NIL","APMC, Palanpur Post,  
Ikbalgarh-385135"
"10.","Lakhani","RSM","NIL","NIL","Disa","35","Cow, Goat, Sheep, Camel","NIL","NIL","APMC, Disa  Post,  
Lakhani-385541"
"11.","Palanpur","RPM","FCG, CSC","PRC","Palanpur","4","Wheat, Jowar, Bajra, 
Greengram","02742-
23744","NIL","APMC,           
Palanpur-385001"
"12.","Palanpur (Veg.)","RSM","NIL","NIL","Palanpur","2","Pottato, Onion, Brinjal, 
Chillies","NIL","NIL","APMC,           
Palanpur-385001"
