"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"12.","KHEDA 
 (21)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"12.","Modasa Road *","RSM","NIL","NIL","Kapadwanj","15","Paddy, Bajra, Redgram, 
Wheat","NIL","NIL","APMC, Kapadvanj, 
Modasa-Road."
"13.","Motizer","RSM","NIL","NIL","- do -","25","- do -","NIL","NIL","APMC, Kapadvanj 
Post, Motizer."
"14.","Mahudha","RSM","NIL","NIL","Nadiad","16","- do -","NIL","NIL","APMC, Nadiad Post, 
Mahudha-387355"
"15.","Nadiad","RPM","MCG, CWG","NIL","- do -","0.5","Redgram, Bajra, Paddy, 
Wheat","0268-
61760","NIL","APMC, 
              
Nadiad-387001."
"16.","Naika","RSM","NIL","NIL","Barejadi","20","- do -","NIL","NIL","APMC, Matar Post, 
Naika-387550."
"17.","Radhu","RSM","NIL","NIL","Mahemdabad","20","Paddy, Cotton, Bajra, 
Redgram","NIL","NIL","APMC,  Matar Post, 
Radhu-387560."
"18.","Sevalia","RSM","NIL","NIL","Sevalia","0.5","Maize, Bajra, Wheat, 
Paddy","NIL","NIL","APMC, Thasra Post, 
Sevalia-388245."
"19.","Santram (Veg.)","RSM","NIL","NIL","Nadiad","3","Potato, Onion, Tomato, 
Chillies","NIL","NIL","APMC,. Nadia Post, 
Santram-389260."
"20.","Thasra","RPM","MCG, SWG","NIL","Thasra","0","Paddy, Cotton, Bajra, 
Wheat","02699-
23035","NIL","APMC,  .
             
Thasra-388250."
"21.","Virpur","RSM","NIL","NIL","Balasinor","40","Paddy, Cotton, Wheat, 
Redgram","NIL","NIL","APMC,  Palasinor Post, 
Virpur-360380."
