"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"3.","ANAND 
 (15)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Anand","RPM","MCG, CWG","PRC","Anand","0","Bajra, Wheat, Redgram, 
Blackgram","02692-
43530","NIL","APMC, Anand-388001"
"2.","Anand (Veg.)","RSM","NIL","NIL","- do -","3","Potato, Onion, Brinjal, 
Banana","NIL","NIL","APMC,  Anand-388001"
"3.","Asodar","- do -","NIL","NIL","Asodar","-","Potato, Onion, Brinjal, 
Tomato","NIL","NIL","APMC, Anklav Post , 
Asodar-391821"
"4.","Anklav","- do -","NIL","NIL","Anklav","1","Bajra, Rice, Redgram, 
Blackgram","NIL","NIL","APMC, Anklav-388510"
"5.","Borsad","RPM","MCG","PRC","- do -","3","Wheat, Redgram, Paddy, 
Bajra","02696-
20049","NIL","APMC, Borsad-388540"
"6.","Borsad (Veg.)","RSM","NIL","NIL","Borsad","0","Potato, Onion, Brinjal, 
Tomato","NIL","NIL","APMC, Borsad-388540"
"7.","Khambhat","RPM","MCG, SWG","NIL","Khambhat","0.25","Paddy, Wheat, Jowar, Bajra","02698-
20025","NIL","APMC,           
Khambhat-388620"
"8.","Khambhat 
(Veg.)","RSM","NIL","NIL","- do -","1","Potato, Onion,  Brinjal, 
Tomato","NIL","NIL","- do -"
"9.","Khambhat 
(Cotton)","- do -","NIL","NIL","- do -","0.5","Cotton","NIL","NIL","- do -"
"10.","Petlad","RPM","MCG","NIL","Petlad","1","Redgram, Bajra, Paddy, 
Wheat","02697-
23613","NIL","APMC, Petlad-388450"
"11.","Petlad (Veg.)","RSM","NIL","NIL","- do -","1","Potato, Onion, Brinjal, 
Tomato","NIL","NIL","- do -"
"12.","Petlad (Animal)","- do -","MCG","NIL","- do -","1.5","Cow, Goat","NIL","NIL","- do -"
"13.","Tarapur","- do -","NIL","NIL","Tarapur","2","Paddy, Wheat, Redgram, 
Bajra","NIL","NIL","APMC, Khambhat  
Post, Tarapur-388180"
"14.","Umreth","- do -","MCG, SWG","NIL","Umreth","0.25","Wheat, Cotton, Redgram, 
Blackgram","02692-
76024","NIL","APMC,Umreth-388220"
"15.","Vasad","- do -","NIL","NIL","Vasad","2","Wheat, Bajra, Redgram, 
Blackgram","NIL","NIL","APMC,  Anand Post,  
Vasad"
