"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"14.","MEHSANA 
(18)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Ambliyasan","RSM","NIL","NIL","Ambliyasan","0.25","Castor,Rapeseed 
Wheat, Bajra","NIL","NIL","APMC,  Mehsana Post,  
Ambliyasan-382732."
"2.","Gozaria","RSM","NIL","NIL","Gozaria","0.25","Wheat, Bajra, 
Castor, Mustard","NIL","NIL","APMC, Vijapur Post, 
Gozaria-382825."
"3.","Jotana","RSM","NIL","NIL","Jotana","0.5","Castor, Rapeseed, 
Wheat, Bajra","NIL","NIL","APMC,  Mehsana Post, 
Jotana-384421."
"4.","Jornang","RSM","NIL","NIL","Mehsana","32","-do-","NIL","NIL","APMC,  Mehsana Post, 
Jornang."
"5.","Kadi","RPM","MCG","NIL","Kadi","0.5","Paddy, Castor, 
Wheat, Bajra","02764-
42021","NIL","APMC,  Kadi-382715."
"6.","Kheralu","RSM","NIL","NIL","Kheralu","0.25","Castor, Bajra, 
Wheat, Isabgol","NIL","NIL","APMC,  Vadnagar 
Post, Kheralu-384325."
"7.","Kukarvada","RSM","NIL","NIL","Kukarvada","0.25","Bajra, Cotton 
Mustard, Castor","NIL","NIL","APMC,  Vijapur Post, 
Kukarvada-383830."
"8.","Ladol","RSM","NIL","NIL","Vijapur","5","Mustard, Castor 
Wheat, Fennelseed","NIL","NIL","APMC, Vijapur Post, 
Ladol-382840."
"9.","Mehsana","RPM","MCG, 
FCG, CSC, 
SWG","PRC","Mehsana","0.5","Castorseed, Bajra, 
Wheat,  Mustard","02762-
53406","NIL","APMC,               
Mehasana-384001."
