"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"17.","PANCHMAHAL 
(24)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"13.","Lunavada (An)","RSM","NIL","NIL","Lunavada","1","Cow, Bullock, Sheep, 
Goat","NIL","NIL","APMC,               
Lunavada-389230."
"14.","Morva Hada","RSM","NIL","NIL","Godhra","24","Cow, Paddy, Goat, 
Jowar","NIL","NIL","APMC,Godhra Post, 
Morva Hada.."
"15.","Morav Raina","RSM","NIL","NIL","Shahera","22","Paddy, Wheat, Maize, 
Bazra","NIL","NIL","APMC,Shahera Post, 
Morav Raina-388714."
"16.","Ramshera","RSM","NIL","NIL","Halod","20","-do-","NIL","NIL","APMC, Halol Post, 
Ramshera."
"17.","Shahera","RPM","MCG, CSC","NIL","Shahera","1","Redgram, Gram, Paddy,  
Greengram","02670-
26331","NIL","APMC, 
              
Shahera-389210."
"18.","Santrampur","RPM","MCG, CSC","NIL","Shantrod","60","Maize, Paddy, 
Redgram, Jowar","NIL","NIL","APMC,             
Santrampur-389260."
"19.","Shivrajpur","RSM","NIL","NIL","Shivrajpur","0.25","Cotton, Paddy, 
Greengram, Jowar","NIL","NIL","APMC, Halol Post, 
Shivrajpur-389370"
"20.","Santrampur (A)","RSM","NIL","NIL","Shantrod","60","Bullock, Goat, Sheep, 
Buffalo","NIL","NIL","APMC,             
Santrampur-389260."
"21.","Sukhsar","RSM","NIL","NIL","Dahod","50","Maize, Paddy, Bulloc k, 
Goat","NIL","NIL","APMC, Santrampur 
Post, Sukhsar-389190."
"22.","Timba Road","RSM","NIL","NIL","Timba Road","1","Cotton , Paddy, 
Redgram, Maize","NIL","NIL","APMC, Godhra Post, 
Timba Road-388710."
"23.","Vardhari","RSM","NIL","NIL","Lunavada","20","Paddy, Wheat, Jowar, 
Gram","NIL","NIL","APMC, Lunavada Post, 
Vardhari."
"24.","Vejalpur","RSM","NIL","NIL","Kharsalia","2","Groundnut, Paddy, 
Bajra, Jowar","NIL","NIL","APMC, Derol Post, 
Vejalpur-389340"
