"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"2.","AMRELI 
 (11)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Amreli","RPM","MCG,CSC, 
SWG","PRC","Amreli","1","G. Nut, Wheat, Jaggery, 
Bajra","02792-
22122","NIL","APMC, Amreli-364601"
"2.","Babara","- do -","MCG","NIL","Chitta","9","- do -","02791-
23564","NIL","APMC, Babara-364421"
"3.","Bagasara","- do -","NIL","NIL","Bagasara","3","- do -","02796-
22987","NIL","APMC,            
Bagasara-364522"
"4.","Chalala","RSM","NIL","NIL","Dhari","20","- do -","NIL","NIL","APMC, Dhari  Post, 
Chalala-364630"
"5.","Dungar","- do -","NIL","NIL","Dungar","2","- do -","NIL","NIL","APMC, Rajula  Post,  
Dungar-364555"
"6.","Damnagar","RPM","MCG","NIL","Damnagar","2","Groundnut, Wheat, Cotton, 
Rice","02793-
22008","NIL","APMC, 
              
Damnagar-364220"
"7.","Dhari","- do -","- do -","NIL","Dhari","0.25","- do -","02797-
21028","NIL","APMC, Dhari-364650"
"8.","Khambha","- do -","NIL","NIL","Rajula","27","- do -","NIL","NIL","APMC,           
Khambha-364650"
"9.","Lathi","- do -","MCG","NIL","Lathi","1","Groundnut, Jaggery, Cotton, 
Rice","NIL","NIL","APMC, Lathi-364430"
"10.","Rajula","- do -","- do -","NIL","Rajula","0.5","Groundnut, Bajra, Wheat, 
Gingili","02794-
22047","NIL","APMC, Rajula-364560"
"11.","Savarkundla","- do -","- do -","NIL","Savarkundla","1","Groundnut, Gingili, Wheat, 
Cotton","02845-
42120","NIL","APMC,        
Savarkundla-364515"
