"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"6.","BHAVNAGAR 
 (11)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Botad","RPM","MCG, SWG","NIL","Botad","2","Cotton, Wheat, 
Groundnut, Bajra","02849-
44093","NIL","APMC, Botad-364710"
"2.","Babarkot","RSM","NIL","NIL","Botad","5","- do -","NIL","NIL","APMC Babarkot"
"3.","Chitra *","RPM","FCG","PRC","Bhavnagar","8","- do -","0278-
445151","NIL","APMC, Chitra, 
Bhavnagar-364004"
"4.","Dhola","- do -","NIL","NIL","Dhola","3","- do -","NIL","NIL","APMC, Dhola"
"5.","Gadhada","- do -","MCG","NIL","Gadhada","1","Wheat, Bajra, Greengram, 
Chillies","02843-
4130","NIL","APMC, 
              
Gadhada-364750"
"6.","Gariyadhar","- do -","MCG","NIL","Damnagar","20","Wheat, Groundnut, 
Greengram, Chillies","02843-
2762","NIL","APMC,          
Gariyadhar-364505"
"7.","Jesar","RSM","NIL","NIL","Mahuva","31","Wheat, Cotton, 
Groundnut, Bajra","NIL","NIL","APMC, Jesar-364510"
"8.","Mahuva","RPM","MCG, SWG","NIL","Mahuva","1","Onion, Bajra, Greengram, 
Groundnut","02844-
22494","NIL","APMC,               
Mahuva-364290"
"9.","Motakhuntavada","RSM","NIL","NIL","Mahuva","5","Onion, Bajra, Groundnut, 
Jaggery","NIL","NIL","APMC,          
Khuntavada-364280"
"10.","Palitana","RPM","MCG","NIL","Palitana","2","Groundnut, Bajra, Jowar, 
Greengram","02848-
2220","NIL","APMC, 
              
Palitana-364270"
"11.","Talaja","- do -","NIL","NIL","Talaja","0","Groundnut, Gingili, 
Wheat, Jowar","NIL","NIL","APMC, Talaja-364140"
"7.","DANG 
(1)","","","","","","","","",""
"1.","Vaghai","RPM 
NIL 
NIL 
Billimora 
50 
Bajra, Mahuva, Redgram, 
NIL 
NIL 
APMC, Vaghai 
Greengram","","","","","","","",""
