"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"17.","PANCHMAHAL 
(24)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Adodara","RSM","NIL","NIL","Khargalia","16","Bajra, Paddy, 
Groundnut, Castor","NIL","NIL","APMC,  Derol Post, 
Adadra-389341."
"2.","Derol","RPM","MCG, CWG","NIL","Derol","2","-do-","02676-
35692","NIL","APMC, Derol-389322.."
"3.","Fatepura","RSM","NIL","NIL","Dahod","55","Maize, Bulloc k, 
Wheat, Goat","NIL","NIL","APMC,  Santrampur 
Post, Fatepura-389172."
"4.","Godhra","RPM","MCG, FCG, 
CSC, SWG","NIL","Godhra","2","Maize, Wheat, Jowar, 
Rice","02672-
43213","NIL","APMC,              
Godhra-389001."
"5.","Godhra (Cattle)","RSM","NIL","NIL","Godhra","3","Bulloc k, Goat, Sheep","NIL","NIL","APMC,  Godhra."
"6.","Halol","RPM","MCG, CSC","NIL","Halol","0.25","Cotton, Redgram, 
Maize, Paddy","02676-
20141","NIL","APMC,  Halol-389350."
"7.","Halol (Animal)","RSM","NIL","NIL","Halol","0.25","Bulloc k, Goat, Sheep, 
Cow","NIL","NIL","APMC,  Halol."
"8.","Jambughoda (An)","RSM","NIL","NIL","Bodoli","16","-do-","NIL","NIL","APMC, Halol Post, 
Jambughoda-389390."
"9.","Kakanpur","RSM","NIL","NIL","Godhra","30","Paddy, Jowar, 
Redgram, Greengram","NIL","NIL","APMC, Godhra Post,  
Kakanpur-388713"
"10.","Kothamba","RSM","NIL","NIL","Lunavada","20","-do-","NIL","NIL","APMC,  Lunavada 
Post, 
                
Kothamba-389220."
"11.","Limbadiya","RSM","NIL","NIL","- do -","25","-do-","NIL","NIL","APMC,  Lunavada 
Post, Limbadia-389235."
"12.","Lunavada","RPM","MCG, CSC","NIL","- do -","1","-do-","02674-
20024","NIL","APMC, 
              
Lunavada-389230."
