"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"15.","NARMADA 
(7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Garudeshwar","RSM","NIL","NIL","Raj pi pl a","17","Cotton,Groundnut, 
Redgram, Wheat","NIL","NIL","APMC,  Rajpipla Post, 
Garudeshwar"
"2.","Dediapada","RPM","MCG","NIL","- do -","35","-do-","02649-
34062","NIL","APMC,             
Dediapada-393040."
"3.","Navagam","RSM","NIL","NIL","- do -","23","-do-","NIL","NIL","APMC,  Selamba Post, 
Navagam-387540."
"4.","Nani Bedwan","RSM","NIL","NIL","- do -","45","-do-","NIL","NIL","APMC, Dediapada 
Post, Nani Bedwan."
"5.","Pratapnagar","RSM","NIL","NIL","Pratapnagar","0.25","-do-","NIL","NIL","APMC,  Rajpipla Post, 
Pratapnagar-393140."
"6.","Rajpipla","RPM","MCG, SWG","NIL","Rajpipla","0.25","-do-","02640-
20057","NIL","APMC,  
             
Rajpipla-393145."
"7.","Selamba","RPM","MCG","NIL","Netrang","45","Redgram, Groundnut, 
Wheat, Bajra","NIL","NIL","APMC,              
Selamba-393025."
