"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"12.","KHEDA 
 (21)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Balasinor","RPM","NIL","NIL","Balasinor","0","Paddy, Cotton, Wheat,  
Redgram","---","---","APMC,  Balasinor."
"2.","Chaklasi","RSM","NIL","PRC","Nadiad","5","Paddy, Groundnut, 
Redgram, Greengram","---","---","APMC,  Nadiad Post, 
Chaklasi-387315"
"3.","Dakor","RSM","NIL","PRC","Dakor","0.5","Paddy, Cotton, Bajra, 
Redgram","---","---","APMC,  Dakor-388225"
"4.","Dakor (Animal)","RSM","NIL","","- do -","0.5","Cow, Goat, Sheep, 
Buffalow","---","---","- do -"
"5.","Kapadvanj","RPM","SWG","PRC","Kapadwanj","1","Cotton, Castor, 
Groundnut, Gingili","02691-
52204","---","APMC,             
Kapadwanj-387620."
"6.","Kheda","RSM","CSC","NIL","Mahemdabad","11","Paddy, Bajra, Redgram, 
Wheat","---","---","APMC,  Mahemdabad 
Post, Kheda-387411."
"7.","Kathlal","RPM","NIL","NIL","Kathana","0.5","Castor, Groundnut","02691-
43409","---","APMC, 
              
Kathlal-387630. ."
"8.","Limbasi","RSM","NIL","NIL","Nadiad","25","Paddy, Bajra, Redgram, 
Wheat","---","---","APMC,  Matar Post, 
Limbasi-387520."
"9.","Mahemadabad","RPM","MCG","NIL","Mahemdabad","0","Paddy, Bajra, Redgram, 
Wheat","0268-
44054","---","APMC,  
Mahemadabad-387130"
"10.","Mahemdabad 
(Veg.)","RSM","NIL","NIL","- do -","0","Potato, Onion, Ttomato, 
Chillies","---","---","- do -"
"11.","Matar","RPM","MCG","NIL","Nadiad","22","Paddy, Bajra, Redgram, 
Wheat","02597-
85524","---","APMC,  Matar-387530."
