"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"1.","AHMEDABAD 
 (19)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"11.","Municipal  
Manekchowk","RSM","NIL","NIL","Ahmedabad","3","Potato, Onion, Chillies, 
Brinjal","NIL","NIL","APMC, Ahmedabad 
Municipal 
Manekchowk, 
Ahmedagad-380001"
"12.","Naroda","RSM","NIL","PRC, 
PSG","- do -","5","Banana, Mango, Apple, 
Sapota","NIL","NIL","APMCAhmedabad, 
Naroda-380025"
"13.","Rajnagar","RSM","NIL","NIL","- do -","3","Potato, Onion, Chillies, 
Brinjal","NIL","NIL","APMC, Ahmedabad, 
Rajnagar."
"14.","Rampura","RSM","NIL","NIL","Rampura","1","Cotton, Wheat, Sheep, Goat","NIL","NIL","APMC, Viramgam, 
Rampura-382140"
"15.","Ranpur","RSM","MCG, SCS","NIL","Ranpur","1","Cotton, Groundnut, Paddy, 
Bajra","NIL","NIL","APMC, Dhandhuka, 
Post Ranpur"
"16.","Sanand","RPM","MCG, CSC","NIL","Sanand","2","Cotton, Wheat,  Bajra","02717-
22022","NIL","APMC, Sanand-382110"
"17.","Sardar Patel 
Jamalpur","RSM","NIL","NIL","Ahmedabad","3","Potato, Onion, Chillies, 
Brinjal","079-
532563
4","NIL","APMC,Ahmedabad 
Sardar Patel Mkt. 
Jamalpur, 
            
Ahmedabad-380001"
"18.","Vasana *","RPM","PCG, CSC, 
SWG, CWG","NIL","- do -","8","Potato, Onion, Banana, 
Tomato","079-
682444
1","NIL","APMC, Ahmedabad 
Chimanbhai Patel Mkt. 
Vasana, Ahmedabad"
"19.","Viramgam","RPM","SCG, CSC, 
FCG, SWG","PRC","Viramgam","1","Cotton, Wheat, Paddy, Bajra","02715-
33260","NIL","APMC, Viramgam, 
Distt. Ahmedabad-
382150"
