"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"22.","SURENDRA 
NAGAR 
 (11)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Chotila","RPM","FCG","NIL","Thangodh","18","Wheat, Bajra, 
Jowar, Groundnut","02751-
50316","NIL","APMC,  
             
Chotila-363520."
"2.","Chotila","RSM","NIL","NIL","Thangodh","18","-do-","NIL","NIL","APMC, 
              
Chotila-363520."
"3.","Chuda","RPM","NIL","NIL","Chuda","0","Cotton","NIL","NIL","APMC,  
             
Chuda-363410."
"4.","Dhrangadhra","RPM","NIL","NIL","Dhrangadhrs","0","-do-","02754-
22038","NIL","APMC,              
Dhrangadhra-363310."
"5.","Halvad","RPM","NIL","NIL","Halwad","0","Wheat, Bajra, 
Jowar, Groundnut","02758-
6303","NIL","APMC,  
             
Halvad-363330."
"6.","Lakhtar","RPM","CSC","NIL","Lakhtar","2","Cotton, Wheat 
Bajra, Jowar","02759-
23102","NIL","APMC,  Laakhtar."
"7.","Limdi","RPM","NIL","NIL","Surendranagar","25","Cotton","02753-
20804","NIL","APMC,  Limdi-363421."
"8.","Muli","RPM","NIL","NIL","Muli Road","10","-do-","02752-
35374","NIL","APMC, Muli-363510."
"9.","Paldi","RPM","MCG, SWG","NIL","Pardi","1","Wheat, Bajra, 
Jowar, Greengram","02757-
33244","NIL","APMC, Paldi-382765."
"10.","Sayala","RPM","NIL","NIL","Muli Road","20","---","02755-
20637","NIL","APMC,     
          
Sayala-363430."
"11.","Wadhwan","RPM","MCG, FCG","NIL","Wadhwan","5","Cotton, Groundnut","02752-
50830","NIL","APMC,             
Wadhwan-363030."
