"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"34.","BRIHAM 
MUMBAI 
 (3)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Fish Market","NRM","NIL","NIL","C.S.T. 
Mumbai","03","Fish, Prown Crabs","NIL","NIL","Fish market Crowford 
Market, Mumbai – 400 
001."
"2.","Fruit Market","NRM","NIL","NIL","Byculla","01","Banana","NIL","NIL","Byculla Fruit Market, 
Byculla, Mumbai."
"3.","Market-3 
(Oil & Oil seeds)","RSM","SWG","NIL","C.S.T. 
Mumbai","03","Sunflowers Oil, 
Palmolen oil, Cotton 
seed Oil, Mustard Oil, 
Groundnut Oil.","2616624","NIL","Shri Chatrapathi Shivaji 
Maharaj Mandi, 3rd Floor, 
Palton Road, Mumbai -     
400 001."
"35.","MUMBAI 
SUB-URBAN 
 (6)","","","","","","","","",""
"1.","Market-1 
(Spices & 
Condiments)","RPM","MCG","NIL","Sanpada","03","Chillies, Turmeric, 
Sugar, Coriander, 
Cashew, Resins, 
Jaggery","7666501 
(Extn.4023)","YES","Market-1, 1st Floor, 
A.P.M.C., Turbe, Navi 
Mumbai."
"2.","Market – 2 
(Foodgrains & 
Pulses)","- do -","- do -","- do -","- do -","05","Wheat, Rice, Red  Split 
Huskedgram, , 
Greengram","Extn. 4067","YES","Market-2, Ground Floor, 
A.P.M.C., Turbe, Navi 
Mumbai"
"3.","Fruit Market","- do -","- do -","PRC","- do -","03","Mango, Orange, Apple, 
Grapes","Extn. 4067","YES","- do -"
"4.","Onion & Potato 
Market","- do -","- do -","NIL","- do -","03","Onion, Potato, Garlic","Extn. 4023","YES","Central Building, 3rd Floor, 
APMC., Turbe, Navi 
Mumbai"
"5.","Vegetable Market","- do -","- do -","PRC","- do -","04","Tomato, Chillies, 
Brinjal, Peas","Extn. 4067","YES","Market-2, Gr. Floor, 
Vegetable Market, 
APMC., Turbe, navi 
Mumbai"
"6.","Devnar Animal 
Market","NRM","NIL","NIL","Govandi","01","Cow, Buffalo, Sheep, 
Goat","NIL","NIL","Devnar Animal market, 
Devnar, Mumbai."
