"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"2.","AKOLA 
(18)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Adsul","RSM","NIL","NIL","Akot","40","Cotton, Oilseeds, 
Cereals","N.A.","NIL","A.P.M.C.,  Adsul, Tah. 
Telhara."
"2.","Akola","RPM","13-MCG","1-PSC,  
2-PRC","Akola","1","Cotton, Soybean, 
Cereals, Oilseeds","0724-
433478, 
434735","NIL","APMC., Akola -444002."
"3.","Akola Cattle 
Market","RSM","NIL","NIL","- do -","1","Cattles","0724-
433478, 
434735","NIL","APMC., Akola."
"4.","Akot","RPM","2-SWG, 
1-CSC","NIL","Akot","1","Cotton, Soybean, 
Cereals, Oilseeds","07258-
22624, 
23115","NIL","APMC., Popatkhed Road., 
Akot-444101,"
"5.","Balapur","RPM","NIL","NIL","Akola","30","- do -","07257-
22138","NIL","APMC.,Balapur,  
Akola444302"
"6.","Barshi Takli","RPM","1-MCG","NIL","Barshi Takli","1","Cotton, Oilseeds, 
Creals","07255-
42303","NIL","APMC.,Barshi Takli -
444401"
"7.","Borgaon Manju","RSM","NIL","NIL","Akola","15","Cotton, Soybean, 
Cereals, Oilseeds","N.A.","NIL","APMC, .Borgaon Manju."
"8.","Channi","RSM","NIL","NIL","- do -","45","Cotton, Oilseeds, 
Cereals","N.A.","NIL","APMC.,Channi, Tah. 
Patur."
"9.","Chohatta","RSM","1-MCG","NIL","Akot","15","Cotton, Soybean, 
Cereals, Oilseeds","N.A.","NIL","APMC.,Chohatta, 
Tah.Akot."
