"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"14.","JALNA 
(31)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"11.","Kumbhari 
Pipalgaon","RSM","MCG-1 
CSC-1","NIL","Badnapur","24","Cotton,  
Redgram, 
Blackgram, 
Wheat, Jowar","NIL","CGFA","APMC.,  K. Pimpalgaon, 
Tah. Ambad."
"12.","Mahora","RSM","MCG-1","NIL","Jalna","40","- do -","NIL","CGFA","APMC., Mahora, Tah. 
Bhokardan."
"13.","Mantha","RPM","MCG-3","NIL","Portoor","25","- do -","02484-70857","CGFA","APMC.,  Mmantha, 
Taluka Mantha."
"14.","Ner","RSM","MCG-1","NIL","Jalna","15","- do -","NIL","CGFA","APMC., Ner, Tah. Jalna."
"15.","Paradgaon","RSM","N.A.","NIL","Partoor","20","- do -","NIL","CGFA","APMC.,  Paradgaon, Tah. 
Ambad."
"16.","Partoor","RPM","N.A.","NIL","- do -","02","- do -","02487-21036","CGFA","APMC,  Partoor, Tah. 
Partoor."
"17.","Pimpalgaon Renu","RSM","MCG-1, 
CSC-1","NIL","Jalna","50","- do -","NIL","CGFA","APMC.,  Pimpalgaon 
Renu, , Tah. Bhokardan."
"18.","Rajanni","RSM","N.A.","NIL","Partoor","15","- do -","NIL","CGFA","APMC,  Rajanni, Tah. 
Ambad."
"19.","Rajoor","RSM","MCG-1","NIL","Jalna","20","- do -","NIL","CGFA","APMC., Rajoor,  
Tah.Bhokardan."
"20.","Ramnagar","RSM","N.A.","NIL","- do -","12","- do -","NIL","CGFA","APMC.,  Ram Nagar, 
Tah. Jalna."
