"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"17.","NAGPUR 
(33)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bela","RSM","NIL","NIL","Umred","15","Cotton, Soybean","NIL","CGFA","APMC.,  Bela, 
         
Tah. Umred"
"2.","Besur","RSM","NIL","NIL","Bhivapur","20","Paddy, Soybean","NIL.","NIL","APMC.,  Besur, 
        
Tah. Bhivapur."
"3.","Bharsingi","RSM","NIL","NIL","Narkhed","30","Cotton, Cattle","NIL","CGFA","APMC,   Bharsingi, 
Tah. Narkhed"
"4.","Bhivapur","RPM","NIL","NIL","Bhivapur","1","Soybean, Chillies, 
Paddy","07106-32242","NIL","APMC.,   Bhivapur, 
Tah. Bhivapur"
"5.","Butibori","RSM","NIL","NIL","Butibori","1","Cotton","NIL","CGFA","APMC,. Butibori,     
Tah. Butibori."
"6.","Champa","RSM","NIL","NIL","Umred","20","Cattle","NIL","NIL","APMC.,   Champa, 
Tah. Umrer."
"7.","Hingna","RSM","MCG-1","NIL","Nagpur","15","Cotton, Soybean","NIL","CGFA","APMC.,   Hingna, 
      
Tah. Hingna."
"8.","Kalmeshwar","RPM","MCG-1","NIL","Kalmesh
war","1","Cotton, Orange, 
Soybean, Pulses","07118-71350","CGFA","APMC., Kalmeshwar, 
  
Tah. 
                 
Kalmeshwar-441501"
"9.","Kamptee","RSM","MCG-1","NIL","Kamptee","1","Cotton, Soybean, 
Vegetables","NIL","CGFA","APMC.Kamthi, 
        
Tah. Kamptee."
"10.","Katol","RPM","NIL","NIL","Katol","1","Cotton, Soybean, 
Pulses, Cereals","07112-22031","CGFA","APMC.,   Katol, 
        
Tah. Katol-441302"
"11.","Kotol  
(Orange Market)","RSM","NIL","NIL","- do -","1","Orange, Cattle","22407","NIL","APMC., Katol, 
        
Tah. Katol-441302"
