"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"13.","JALGAON 
(12)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"7.","APMC, Jalgaon","RPM","MCG","PRC-3","Jalgaon","3.50","Jaggery, 
Cotton & 
Cotton seed, 
Jowar, Green 
Gram","0257-210665, 
210807","CGFA","Secretary,  APMC., 
Ajintha Road, Jalgaon."
"8.","APMC, Jamner","RPM","MCG","NIL","Bhusaval","37.00","Cotton & 
Cotton seed, 
Maize, Wheat, 
Jowar","02580-30043, 
30243, 20243, 
52257","CGFA","Secretary,  APMC.,. 
Jamner."
"9.","APMC, Pachora","RPM","MCG, 
CSC, 
CWG","NIL","Pachora","2.50","Cotton, Jowar, 
Millet, Maize","02576-40019, 
40332, 40493","CGFA  & 
Commercial 
grading","Secretary,  APMC., 
Pachora."
"10.","APMC, Parola","RPM","NIL","NIL","Jalgaon","34.00","Cotton, Jowar, 
Millet, Wheat","02597-22242","CGFA  & 
Commercial 
grading","Secretary,  APMC.,  
Parola."
"11.","APMC, Raver","RPM","MCG, 
CSC","NIL","Raver","2.00","Green 
Banana, Jowar 
(Hy.4), 
Cotton, Wheat","02584-50238, 
50838","CGFA  & 
Commercial 
grading","Secretary,  APMC., 
Raver."
"12.","APMC, Yawal","RPM","MCG","NIL","Bhusaval","25.00","Green 
Banana, 
Cotton, Jowar, 
Groundnut","02585-62241","CGFA  & 
Commercial 
grading","Secretary,  APMC., 
Yawal."
