"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"33.","YEOTMAL 
 (37)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"14.","Lohi","RSM","NIL","NIL","Darvha","20","Cotton","NIL","CGFA","APMC,  Lohi, Tah. Darvha."
"15.","Mahagaon","RPM","NIL","NIL","Nanded","100","Cotton, Cereals,  
Pulses","2237","- do -","APMC, Mahagaon, Tah. 
Mahagaon."
"16.","Mardi","RSM","NIL","NIL","Rajur","23","Cotton, Cereals","NIL","- do -","APMC., Mardi, Tah. 
Morgaon."
"17.","Mohda","RSM","NIL","NIL","Yeotmal","40","- do -","NIL","- do -","APMC., Mohda, Tah. 
Pandharkawda."
"18.","Moragaon","RPM","MCG-1","NIL","Rajur","23","- do -","07237-
6444","- do -","APMC.,  Moragaon, Tah. 
Moragaon."
"19.","Mukutban","RSM","MCG-1","NIL","- do -","23","- do -","NIL","- do -","APMC., Mukutban, Tah. 
Moragaon."
"20.","Mahagaon","RSM","MCG-1","NIL","Bori Arab","15","Cotton","NIL","- do -","APMC.,   Mahagaon, Tah. 
Bori Arab."
"21.","Narparsopant","RPM","MCG-1","NIL","Badnera","60","Cotton, Cereals","07238-
67718, 
67101","- do -","APMC.,  Nesparsopant, Tah. 
Narparsopant."
"22.","Pandharkawda","RPM","MCG-1","NIL","Rajur","60","- do -","07234-
27418","- do -","APMC,  Pandharkawda, Tah. 
Pandharkawda."
"23.","Parva","RSM","MCG-1","NIL","Yeotmal","70","- do -","NIL","- do -","APMC,  Parva, Tah. 
Ghatanji."
"24.","Patanbori","RSM","MCG-6","NIL","Rajur","80","- do -","NIL","- do -","APMC, Patanbori, Tah. 
Pandharkawda."
"25.","Pusad","RPM","NIL","NIL","Nanded","100","- do -","07233-
46021, 
46026, 
48995","- do -","APMC,  Pusad, Tah. Pusad"
"26.","Ralegaon","RPM","MCG-1","NIL","Rajur","60","Cotton, Cereals","07202-
25251","CGFA","APMC,  Ralegaon,  Tah. 
Ralegaon."
