"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"14.","JALNA 
(31)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"21.","R. Unchegaon","RSM","N.A.","NIL","Jalna","32","Cotton, 
Redgram, 
Blackgram, 
Wheat, Jowar","NIL","CGFA","APMC.,.  R. Unchegaon, 
Tah. Ambad."
"22.","Satona","RSM","N.A.","NIL","Satona","01","- do -","NIL","CGFA","APMC.,  Satona, Tah. 
Partoor."
"23.","Sewali","RSM","MCG-1","NIL","Badnapur","20","- do -","NIL","CGFA","APMC.,   Sewali, 
Tah.Sewali."
"24.","Shahagad","RSM","NIL","NIL","Jalna","60","- do -","NIL","CGFA","APMC.,  Shahgad, Tah. 
Ambad."
"25.","Tallanni","RSM","MCG-1","NIL","Partoor","30","- do -","NIL","CGFA","APMC., Tallanni, 
Tah.Partoor."
"26.","Tambhunne","RSM","MCG-1, 
CSC-1","NIL","Jalna","55","- do -","NIL","CGFA","APMC.,  Tambhunne, , 
Tah. Bhokardan."
"27.","Tirathpuri","RSM","MCG-1, 
CSC-1 , 
SWG-1","NIL","Jalna","35","- do -","NIL","CGFA","APMC.,  Tirathpuri, 
Taluka Ambad."
"28.","Vadigodry","RPM","MCG-1, 
CSC-1, 
SWG-1","NIL","Jalna","45","- do -","02483-20045","CGFA","APMC.,  Vadigodry, Tah. 
Ambad."
"29.","Walsawangi","RSM","NIL","NIL","- do -","35","- do -","NIL","CGFA","APMC,  Walsawangi, 
Tah. Bhokardan."
"30.","Watoor","RSM","SWG-2","NIL","Partoor","15","- do -","NIL","CGFA","APMC.,  Watoor, Tah. 
Mantha."
"31.","Warud Budrak","RSM","NIL","NIL","Jalna","35","- do -","NIL","CGFA","APMC,  Warud Budrak, 
Tah. Bhokardan."
