"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"24.","RAIGAD 
 (28)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"15.","Nagothana","RSM","NIL","NIL","Pen","26","Paddy","NIL","NIL","C/o. APMC,,  Roha"
"16.","Neral","RSM","NIL","NIL","Neral","1","Paddy, Rice, Varai","NIL","NIL","A/Post Neral, 
             
C/o. APMC, Kanjat."
"17.","Nizampur","RSM","NIL","NIL","Pen","80","Ragi, Varai","NIL","NIL","C/o. APMC,  Mangaon"
"18.","Panvel","RPM","SWG","NIL","Panvel","1","Paddy, Onion, 
Ragi, Fruits","022-
7452371","NIL","APMC,  Panvel."
"19.","Pen","RPM","NIL","NIL","Pen","2","Varai, Rice, Wheat","02143-
52068, 
55303","NIL","APMC,  Pen."
"20.","Poladpur","RSM","NIL","NIL","- do -","120","Paddy, Rice, Varai, 
Ragi","NIL","NIL","C/o. APMC,  Mahad,  
Poladpur, Tal.- Poladpur."
"21.","Pezaro","RSM","NIL","NIL","- do -","15","Paddy, Coconut, 
Betelnut","NIL","NIL","C/o. APMC, Alibaugh"
"22.","Revendada","RPM","NIL","NIL","- do -","29","Paddy, Rice, 
Coconut, Betelnut","NIL","NIL","RSM Revdanda, C/o. 
APMC Alibaugh, 
         
Tal.-Alibaugh."
"23.","Roha","RPM","MCG","NIL","- do -","61","Paddy","02194-
42255","NIL","APMC, Roha."
"24.","Shiravali","RSM","NIL","NIL","- do -","50","Paddy, Rice, 
Coconut, Betelnut","NIL","NIL","C/o. APMC., Alibaugh"
"25.","Sudkolo","RSM","NIL","NIL","- do -","63","Paddy","NIL","NIL","NIL"
"26.","Talashet","RSM","NIL","NIL","- do -","60","Paddy, Ragi, Varai","NIL","NIL","Talshet (APMC) , 
         
Tah. Mangaon."
"27.","Utephol","RPM","NIL","NIL","- do -","70","Paddy","NIL","NIL","APMC., Pen"
"28.","Washi","RSM","NIL","NIL","- do -","8","Paddy, Ragi, Varai","022-
7666501, 
7682416","NIL","C/o. APMC Vashi, Tal.- Pen."
