"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"1.","AHMEDNAGAR 
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","APMC, 
Ahmednagar","RPM","PSC","1-PSC, 
3-PRC, 
2-CSC","Ahmednagar","2","Onion, Wheat, 
Potato, Bajra","0241-
353647, 
355820","YES","The Secretary, APMC., 
Ahmednagar"
"2.","APMC, Akole","RPM","NIL","NIL","Ghoti","40","Onion, Wheat, 
Rice, Tomato","02424-
2121","YES","The Secretary, APMC., 
Akole, Tq.- Akole"
"3.","APMC, Jamkhed","RPM","MCG","NIL","Ahmednagar","60","Jowar, Bajra, 
Wheat, Blackgram","02421-
21062","YES","Secretary, APMC, 
Jamkhed, Tq. Jamkhed"
"4.","APMC, karjat","RPM","MCG","NIL","- do -","45","Jowar, Bajra, 
Pigeon Pea, Cotton","02489-
22308","YES 
CGFA","Secretary, APMC., Karjat, 
Tq. Karjat"
"5.","APMC, Kopargaon","RPM","CSC, 
CWG, 
PSG","1-CSC","Kopargaon","2","Wheat, Bajra, 
Cotton, Gram","02423-
23038, 
22588","YES 
CGFA","Secretary, APMC, 
Kopargaon, Tq. 
Kopargaon"
"6.","APMC, Newasa","RPM","MCG, 
CSC, 
CWG, 
PSG","1-CSC","Shrirampur","35","Wheat, Veg., 
Cotton, Bajra","02427-
41212","YES 
CGFA","Secretary, APMC., 
Newasa, Tq. Newasa"
"7.","APMC, Parner","RPM","MCG","NIL","Ahmednagar","35","Onion, Jowar, 
Green Peas, Bajra","02488-
21757","YES","Secretary, APMC., Parner, 
Tq. Parner"
