"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"32.","WARDHA 
 (19)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"11.","Pulgaon","RPM","MCG-2","NIL","Pulgaon","1","Cotton,  Soybean, 
Pulses","07158-
82062","CGFA","APMC, Pulgaon, Tah. 
Pulgaon"
"12.","Rohna","RSM","MCG-1","NIL","Rohna","1","Cotton, Soybean","NIL","CGFA","APMC, Rohna, Tah. Arvi"
"13.","Sahur","RSM","NIL","NIL","Arvi","30","- do -","NIL","CGFA","APMC, Sahur, Tah. Ashti."
"14.","Samudrapur","RPM","MCG-1","NIL","Hinganghat","22","- do -","07151-
25467, 
25359","CGFA","APMC, Samudrapur, Tah. 
Samudrapur"
"15.","Selu","RSM","MCG-1","NIL","Selu","1","- do -","NIL","CGFA","APMC, Selu, Tah. Selu"
"16.","Sindi (Rly.)","RPM","MCG-1","NIL","Sindi","1","Cotton, Soybean, 
Pulses","07155-
61237","CGFA","APMC, Sindi, Tah. Selu"
"17.","Talegaon","RSM","NIL","NIL","Arvi","12","Cotton","NIL","CGFA","APMC, Talegaon, Tah. Ashti"
"18.","Wadner","RSM","NIL","NIL","Hinganghat","30","- do -","NIL","CGFA","APMC, Wadner, Tah. 
Hinganghat"
"19.","Wardha","RPM","MCG-2","PRC","Wardha","1","Cotton, Soybean, 
Redgram, Gram.","07152-
43352, 
44082","CGFA","APMC, Wardha."
