"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"19.","NASIK 
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"8.","APMC, 
Nandgaon","RPM","MCG, 
PSG","NIL","Nandgaon","3","Onion, Bajra, 
Wheat, 
Groundnut","02552-42242, 
42273","YES","The Secretary, APMC,  
Nandgaon, Taluka – Nandgaon"
"9.","APMC, Nasik","RPM","CWG, 
CSC, PSG","PSC-1 
PRC-12 
CSC-3","Nasik Road","14","Vegetables","0253-514922, 
514924, 
620944, 
510474","YES","The Secretary, APMC,  Nasik, 
Dindori Road, Nasik – 422003"
"10.","APMC, 
Pimpalgaon","RPM","NIL","PSC-1 
PRC-19 
CSC-3","Nifad","12","Onion, Jowar, 
Vegetables","02550-51223, 
50023, 51287","YES","The Secretary, APMC, 
Pimpalgaon, Taluka – Nifad"
"11.","APMC, Satana","RPM","MCG, 
CWG","NIL","Lasalgaon","75","Onion, Maize, 
Wheat, 
Groundnut","02555-20014","YES","The Secretary, APMC,  
Satana, Taluka - Satana"
"12.","APMC, Sinnar","RPM","MCG, 
PSG","PRC-2","Nasik Road","30","Onion, Wheat, 
Bajra, Jowar","02551-20037, 
20196","YES","The Secretary, APMC,  Sinner, 
Taluka - Sinner"
"13.","APMC, Yeola","RPM","MCG, 
PSG, CSC","NIL","Yeola","5","Onion, Cotton, 
Bajra, Wheat","02559-65006","YES, 
CGFA","The Secretary, APMC, Yeola, 
Taluka - Yeola"
