"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"3.","AMRAVATI 
(38)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"10.","Bhatukli","RSM","MCG-1","NIL","Amravati","18","Cotton","N.A.","CGFA","APMC.,  Bhatukli."
"11.","Chandur Bazar","RPM","MCG-1 
SWG-1","NIL","Amravati","30","Cotton, Chillies, 
Cereals, Cattle 
Market","43239","CGFA","APMC.,  Chandur Bazar, 
Tah. Chandur Bazar."
"12.","Chandur Raailway","RPM","MCG-1","NIL","Chandur 
Railway","1","Cotton, Cereals, 
Soybean, Cattle 
Market","54048","CGFA","APMC., Chandur Rly. 
Tah. Chandur Rly."
"13.","Churni","RSM","NIL","NIL","Akot","90","Cereals, Pulses","NIL","NIL","APMC., Churni, Tah. 
Dharni"
"14.","Daryapur","RPM","MCG-28 
CSC-1","NIL","Murtijapur","20","Cotton, Redgram, 
Gram, Cattle 
Market","34219","CGFA","APMC., Daryapur, Tah. 
Daryapur"
"15.","Dhamangaon Gadi","RSM","NIL","NIL","Achalpur","15","Cotton, Jowar, 
Soybean, Pulses","NIL","CGFA","APMC., Dhamangaon 
Gadi, Tah. Achalpur"
"16.","Dhamangaon Rly.","RPM","SWG-2","NIL","Dhamangaon 
Rly.","2","Cotton, Soybean, 
Wheat, Cereals","37018","CGFA","APMC,  Dhamangaon 
Rly."
"17.","Dharni","RPM","NIL","NIL","Akot","80","Cereal, Pulses","24253","NIL","APMC., Dharni, Tah. 
Dharni."
"18.","Harisal","RSM","NIL","NIL","- do -","90","Pulses, Cereals","NIL","NIL","APMC,  Harisal, Tah. 
Dharni."
