"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"16.","LATUR 
(22)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Aaurad 
Shahajani","RPM","N.A.","N.A.","Latur","75","Jowarr, Redgram, 
Blackgram, Moong","02384-45002","N.A.","APMC.,  Aaurad 
Shahajani, 
            
T. Nilanga– 413322"
"2.","Aausa","RPM","MCG-1","N.A.","- do -","20","Jowar, Blackgram, 
Wheat, Safflowar","02383-22063","N.A.","APMC.,  Aausa, 
       
T. Aausa."
"3.","Ahamedpur","RPM","MCG-2","N.A.","Chakoor","35","Cotton, Jowar, 
Redgram, Blackgram","02381-62064","CGFA","APMC,   Ahmedpur,   
T. Ahmedpur– 413515"
"4.","Chakoor","RPM","N.A.","N.A.","- do -","02","Cotton, Jowar, 
Blackgram, Greengram","02381-52067","CGFA","APMC.,   Chakoor, 
     
T. Chakoor."
"5.","Chapoli","RSM","N.A.","N.A.","- do -","20","Cotton, Jowar, 
Blackgram, Greengram","N.A.","CGFA","APMC, Chapoli, 
       
T. Chakoor."
"6.","Dewani B.","RSM","N.A.","N.A.","Udgir","22","Cotton, Redgram, 
Blackgram, Jowar, 
Wheat","N.A.","CGFA","APMC.,   Dewani B., 
T. Udgir."
"7.","Hadollati","RSM","N.A.","N.A.","Chakoor","65","Cotton, Jowar, 
Redggram, Blackgram","N.A.","CGFA","APMC.,  Hadollati, 
     
T. Ahmedpur."
"8.","Halli","RSM","N.A.","N.A.","Udgir","30","Cotton, Redgram, 
Blackgram, Jowar, 
Wheat","N.A.","CGFA","APMC., Halli,  
       
T. Udgir."
"9.","Jalkot","RSM","N.A.","N.A.","- do -","25","Cotton, Redgram/ 
Blackgram, Jowar, 
Wheat","N.A.","CGFA","APMC.,   Jalkot,  
      
T. Jalkot."
"10.","Kasar Shirsi","RSM","N.A.","N.A.","Latur","70","Jowar, Redgram, 
Blackgram, Greengram","N.A.","N.A.","APMC.,   Kasar Shirsi, 
T. Nilanga."
"11.","Killari","RSM","N.A.","N.A.","- do -","40","Jowar, Blackgram, 
Wheat, Safflowar","N.A.","N.A.","APMC., Killari,  T. 
Aausa."
