"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"2.","AKOLA 
(18)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"10.","Hivarkhed","RSM","1-MCG","NIL","Akot","21","Cotton, Oilseeds, 
Cereals","N.A.","NIL","APMC., Hivarkhed, Tah. 
Telhara."
"11.","Malegaon","RSM","1-MCG","NIL","- do -","40","Cotton, Oilseeds, 
Cereals","NIL","NIL","APMC., Malegaon, 
Tah.Telhara."
"12.","Mana","RSM","1-MCG","NIL","Mana","1","Cotton, Soybean, 
Cereals, Oilseeds","NIL","NIL","APMC.,Mana,  
Tah.Murtijapur."
"13.","Murtijapur","RPM","2-MCG","NIL","Murtijapur","1","- do -","07256-
43430, 
43930","NIL","APMC., Murtijapur,  Tah. 
Murtijapur."
"14.","Patur","RPM","1-MCG","NIL","Akola","33","Cotton, Oilseeds, 
Cereals","32244","NIL","APMC.,Patur, Tah. Patur."
"15.","Pinjar","RSM","1-MCG","NIL","Barshi Takli","18","- do -","NIL","NIL","APMC., Pinjar, Tah. 
Barshi Takli."
"16.","Telhara","RPM","1-MCG","NIL","Akot","30","- do -","07258-
31228, 
28260","NIL","APMC.,  Telhara, Tah. 
Barshi Takli."
"17.","Ural (B)","RSM","1-MCG","NIL","Akola","45","Cotton, Soybean, 
Oilseeds, Cereals","NIL","NIL","APMC., Ural (B), Tah. 
Balapur."
"18.","Vadegaon","RSM","1-MCG","NIL","- do -","45","- do -","NIL","NIL","APMC., Vadegaon, Tah. 
Balapur."
