"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"1.","AHMEDNAGAR 
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"8.","APMC, Pathardi","RPM","MCG","NIL","- do -","65","Wheat, Bajra, 
Jowar, Pigean Pea","02428-
22337","YES","Secretary, APMC., 
Pathardi, Tq. Pathardi"
"9.","APMC, Rahuri","RPM","CSC, CWG","NIL","- do -","40","Onion, Cotton, 
Bajra, Groundnut","02427-
41212","YES 
C.G.F.A.","Secretary, APMC., 
Rahuri, Tq. Rahuri"
"10.","APMC, Sangamner","RPM","CSC, CWG, 
PSG","NIL","Shrirampur","40","Watermelon, 
Lemon, Onion, 
Eggs","02425-
25577, 
25392","YES","Secretary, APMC., 
Sangamner, 
            
Tq. Sangamner"
"11.","APMC, Sheogaon","RPM","MCG, CSC, 
PSG","NIL","- do -","45","Wheat, Cotton, 
Bajra, Jowar","02429-
21259","YES 
C.G.F.A.","Seecretary, APMC., 
Sheogaon, Tq. Sheogaon"
"12.","APMC, Shrigonda","RPM","MCG, CSC, 
CWG","NIL","Daund","35","Wheat, lemon, 
Bajra, Groundnut","02487-
22332","YES","Secretary, APMC., 
Shrigonda, Tq. Shrigonda"
"13.","APMC, Shrirampur","RPM","MCG, CSC, 
SFG, CWG, 
PSG","1-CSC","Shrirampur","2","Soybean, Wheat, 
Gram, Rice","02422-
22283","YES","The Secretary, APMC., 
Shrirampur, 
            
Tq. Shrirampur."
