"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"30.","THANE 
 (7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bhiwandi","RPM","MCG, CSC","NIL","Kalyan","15","Eggs, Rice, Wheat, 
Jowar","02522-
52262","YES","The Secretary, APMC,  
Bhiwandi"
"2.","Kalyan","RPM","CSC, SFG, 
CWG","NIL","- do -","3","Wheat, Rice, 
Onion, Jowar","0251-
206702, 
207216","YES","The Secretary, APMC, 
Kalyan"
"3.","Murbad","RPM","MCG","NIL","- do -","30","Paddy, Rice, Cattle","02524-
22239","YES","The Secretary, APMC, 
Murbad"
"4.","Palghar","RPM","CSC, CWG","NIL","Palghar","2.5","Foodgrains, Fodder, 
Paddy, Bamboo","0252-
52685","YES","The Secretary, APMC, 
Palghar"
"5.","Shahapur","RPM","MCG, CSC","NIL","Asangaon","3","Paddy, Wheat, 
Varai, Rice","02527-
52663","YES","The Secretary, APMC, 
Shahapur"
"6.","Ulhasnagar","RPM","CWG","NIL","Ulhasnagar","2.5","Rice, Wheat, 
Onion, Potato, 
Firewood","0251-
605305","YES","The Secretary, APMC, 
Ulhasnagar"
"7.","Vasai","RPM","SFG","PSC-40 
CSC-3","Vasai","2","Rice","0250-
326091","YES","The Secretary, APMC, Vasai"
