"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"9.","SHIMLA 
(5)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Dhalli","RPM","FCG, SFG,   
CSC","HPMCG","Shimla","8","Peas, Cabbage, 
Potato, Apple & 
Shimla Mirch","0177-
241167, 
240287","NIL","Secretary, Agril. Produce 
Market Committee, Shimla at 
Dhalli, Distt. Shimla,        
H.P.-171012"
"2.","Koti","RSM","NIL","NIL","- do -","28","Shimla Mirch, 
Cabbage, 
Potato, Tomato","NIL","- do -","NIL"
"3.","Rampur","RSM","SFG,   SCG","HPMCG","- do -","130","Potato, Tomato, 
Peas, Apple & 
Ginger","01782-
34471","- do -","NIL"
"4.","Shllaroo","RSM","Not 
Functioning","","","","","","",""
"5.","Theog","RSM","SPG,   SCG, 
CSC","HPMCG","Shimla","38","Peas, potato, 
Cabbage, 
Cauliflower","NIL","NIL","NIL"
"10.","SIRMOUR 
(5)","","","","","","","","",""
"1.","Dadahu","RSM","MCG, SPG,  
SCG","NIL","Barara","85","Ginger, Tomato, 
Peas","N.A.","NIL","NIL"
"2.","Kheri","RSM","Not 
Functioning","","","","","","",""
"3.","Paontasahib","RPM","FCG, SFG,  
SCG, CSC","NIL","Dehradun","45","Paddy, Wheat, 
Ginger, Tomato","01704-
22381","NIL","Secretary, Agril. Produce 
Market Committee, 
Paontasahib, Distt. Sirmour, 
H.P.-173025"
"4.","Sarahan","RSM","SFG,   SCG. 
CSC","- do -","Solan","45","Tomato, 
Shimlamirch, 
Bean, Peas","N.A.","- do -","NIL"
"5.","Sataun","RSM","NIL","- do -","Dehradun","56","Ginger, Chillies 
Arbi","- do -","- do -","NIL"
