"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"4.","KANGRA 
(8)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Baijnath","RSM","NIL","NIL","Baijnath","0.5","Cauliflower, 
Radish, 
Pea, Bottlegourd","N.A.","NIL","NIL"
"2.","Chaliara","RSM","","Not 
Functioning","","","","","",""
"3.","Dhauara","RSM","","Not 
Functioning","","","","","",""
"4.","Jasoor","RSM","FCG, CSC","NIL","Jasoor","3","Bottlegourd, 
Tomato, 
Litchi, Radish","N.A.","NIL","NIL"
"5.","Kangra","RPM","FCG, MCG","NIL","Kangra 
Mandir","5","Cauliflower, 
Peas, 
Radish, Turniup","01892- 
65195","NIL","Secretary, Agril. Produce 
Market Committee, Kangra, 
Near Gup Ganga, Distt. 
Kangra, H.P.-1"
"6.","Kandrori","RSM","","Not 
Functioning","","","","","",""
"7.","Nagrotabagwan","RSM","FCG, CSC, 
SFG, HPC, 
SCG","NIL","Nagrota 
Bagwan","2","Cauliflowerr, 
Radish, 
Turnip, 
Pumpkim","N.A.","NIL","NIL"
"8.","Palampur","RSM","NIL","NIL","Maranda","5","Proposed","","",""
"5.","KINNAUR 
(1)","","","","","","","","",""
"1.","Panngi","RSM 
Not 
 
 
 
 
 
 
 
Functioning","","","","","","","",""
