"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"2.","CHAMBA 
(1)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Chamba 
(at Baloo)","RPM","FCG, SFG,  
CSC","NIL","Pathankot","120","Tomato, Peas, 
Cauliflower, 
Cabbage","01899-
24838","N.A.","Secretary,  Agril. Produce 
Market Committee,  Chamba, 
Kisan Bhavan, Baloo, Distt. 
Chamba H.P. – 176310"
"3.","HAMIRPUR 
(2)","","","","","","","","",""
"1.","Dosarka 
(Hamirpur)","RPM","FCG, SFG,  
CSC, HPC, 
SCG","NIL","Una","80","Banana, Apple, 
Potato, 
Orange/Kinnow","01972- 
58413","N.A.","Secretary,  Agril. Produce 
Market Committee (APMC), 
Hamirpur, at Dosarka, Distt. 
Hamirpur- 177001."
"2.","Nadaun *","RSM","HPC, SCG, 
CSC","NIL","Una","75","Banana, Apple, 
Potato, Cauliflower","N.A.","N.A.","- do -"
