"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"26.","PURI         
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Astarang","NRM","-","Nil","Bhubaneswar","55","Betel leaves, Vegetables, 
Dry fish","Nil","Nil","At.P.O.: Astarang"
"2.","Brahmagiri","RSM","MCG","PRC","Puri","20","Cashewnut, Coconut, 
Vegetables","- do -","- do -","At.P.O.: 
Brahmagiri"
"3.","Gabkunda","- do -","- do -","Nil","Sakhigopal","10","Coconut, Cattle","- do -","- do -","At.P.O.: Gabkunda"
"4.","Kakatpur","NRM
-","-","- do -","Puri","30","Groundnut","- do -","- do -","At.P.O.: Kakatpur"
"5.","Kanas","- do -","-","- do -","Delang","10","Groundnut, Vegetables","- do -","- do -","At.P.O.: Kanas"
"6.","Konark","- do -","-","- do -","Puri","30","Cashewnut","- do -","- do -","At.P.O.: Konark"
"7.","Malatipatapur 
(Chandanpur)","RSM","WBG","- do -","Malatipatapur","1","Coconut, Potato, Betel 
leaves","- do -","- do -","At.P.O.: 
Malatipatapur"
"8.","Mandarbasta","- do -","-","- do -","Dhuli Muhna","2","Parbal, Bittergourd","- do -","- do -","At. P.O.: 
Mandarbasta"
"9.","Nayahat","NRM","-","- do -","Bhubaneswar","58","Paddy, Rice, Betel leaves","- do -","- do -","At.P.O.: Nayahat"
"10.","Nimapara","RPM","CSC, SWG","- do -","- do -","40","Paddy, Betel leaves, Fish, 
Cashewnut","06758-
52201","- do -","At.P.O.: Nimapara"
"11.","Pipli","RSM","MCG","- do -","Khurda RD","12","Coconut, Betel leaves, 
Potato, Brinjal","Nil","- do -","At. P.O.: Pipli"
"12.","Sakhigopal","RPM","SWG, MCG","- do -","Sakhigopal","1","Coconut, Cattle","06752-
72262","- do -","At.P.O.: 
Sakhigopal"
"13.","Satsankh","RSM","CSC","- do -","Birpursottampur","5","Paddy, Potato, Coconut","Nil","- do -","At.P.O.: 
Satasankha"
