"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Distance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"24.","NAWARANGPUR 
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Dabugaon","RSM","MCG","Nil","Jeypore","73","Paddy, Tamarind, Black 
gram, Cattle","Nil","Nil","At.P.O.: Dabugaon"
"2.","Dongarbheja","NRM","Nil","- do -","- do -","120","Paddy, Maize, Sal seed, 
Black gram","- do -","- do -","At.P.O.: 
Dongarbheja"
"3.","Jharigaon","RSM","- do -","- do -","- do -","124","Paddy, Niger, Black gram, 
Hill gram","- do -","- do -","At.P.O.: Jharigaon"
"4.","Kodinga","- do -","- do -","- do -","- do -","70","Paddy, Tamarind, Black 
gram, Vegetables","- do -","- do -","At.P.O.: Kodinga"
"5.","Lamtaguda","- do -","MCG","- do -","- do -","80","Tamarind, Niger, Cattle","- do -","- do -","At.P.O.: Lamtaguda"
"6.","Maidalpur","- do -","- do -","- do -","- do -","75","Paddy, Tamarind, Niger, 
Vegetables","- do -","- do -","At.P.O.: Maidalpur"
"7.","Nawarangpur","RPM","MCG, SWG, 
FCG, CSC, 
CWG, WBG","- do -","- do -","44","Paddy, Cattle","06858- 
22105","For Paddy 
only","At.P.O.: 
Nawarangpur"
"8.","Papadahandi","NRM","Nil","- do -","- do -","60","Paddy","Nil","Nil","At. P.O.: 
Papadahandi"
"9.","Purla","- do -","- do -","- do -","- do -","120","Paddy, Maize, Sal seed 
Black gram","- do -","- do -","At.P.O.: Purla"
"10.","Raighar","RSM","SWG, MCG","- do -","- do -","133","Maize, Cattle, Paddy","- do -","- do -","At.P.O.: Raighar"
"11.","Semila","NRM","MCG","- do -","- do -","73","Paddy, Tamarind, Niger","- do -","- do -","At. P.O.: Semila"
"12.","Singsari","- do -","- do -","- do -","- do -","110","Maize, Sal seed, Black 
gram, Tamarind","- do -","- do -","At.P.O.: Singsari"
"13.","Umarkote","RSM","CSC, WBG, 
MCG, SWG","- do -","- do -","104","Maize, Cotton, Black gram, 
Cattle","- do -","- do -","At.P.O.: Umarkote"
