"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Distance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"15.","KALAHANDI 
(29)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Ambapani","RSM","-","-","Kesinga","105","Paddy","-","-","At. P.O.: Ambapani"
"2.","Balipada","- do -","MCG","-","Narla Rd.","15","Paddy, Cotton, Cattle","-","-","At. Baliapda 
P.O.:Bhanpur"
"3.","Baner","- do -","- do -","-","Kesinga","98","Paddy","-","-","At. P.O.: Baner"
"4.","Behera","- do -","- do -","-","- do -","104","Paddy, Cattle","-","-","At. P.O.: Behera"
"5.","Bhawanipatna","RPM","SWG, CSC","-","- do -","35","Paddy, Grams, Cattle, 
Vegetables","06670-
32413","-","At. P.O.: Bhawanipatna"
"6.","Bijepur","NRM","-","-","Ambadulla","40","Niger, Mustard, Hill 
gram","-","-","At.P.O.: Bijepur"
"7.","Biswanathpur","- do -","CSC","-","- do -","3","Cotton, Niger","-","-","At. P O : Biswanthpur"
"8.","Charbahal","- do -","-","-","Kesinga","82","Paddy","-","-","At. P.O.: Charbahal"
"9.","Chilguda","- do -","-","-","- do -","75","- do -","-","-","At. P.O.: Chilguda"
"10.","Dharmagarh","RSM","RCG","-","- do -","80","Paddy, Cattle","-","-","At. P.O.: Dharmagarh"
"11.","Gargab","NRM","-","-","- do -","134","Cattle","-","-","At. P.O.: Gargab"
"12.","Gopalpur","- do -","-","-","- do -","80","Niger, Mustard, 
Blackgram","-","-","At. P.O. : Gopalpur"
"13.","Habuspur","RSM","MCG","-","- do -","85","Paddy, Cattle","-","-","At.  P.O.: Habuspur"
"14.","Joradora","NRM","-","","- do -","40","Paddy","-","-","At. P.O.: Joradora"
"15.","Junagarh","RPM","MCG, CSC, 
SWG, WBG","-","- do -","64","Paddy, Cattle","06672-
43238","For Paddy","At. P.O.: Junagarh"
