"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Distance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"17.","KENDRAPARA 
(9)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Aul","NRM","-","-","Kendrapara 
Rd.","50","Groundnut, Paddy, Jute, 
Vegetables","-","-","At. P.O. : Aul"
"2.","Chhata","- do -","-","-","Dhanmandal","40","Paddy, Green gram, 
Jute","-","-","At. P.O.: Chhata"
"3.","Chandol","RSM","MCG","-","Kendrapara 
Rd.","40","Cattle, Potato, Pulses, 
Vegetables","-","-","At.P.O.: Chandol"
"4.","Indupur","RSM","- do -","-","- do -","65","Paddy, Green gram, 
Jute, Vegetables","-","-","At. P.O.: Indupur"
"5.","Kendrapra","RPM","SWG, 
MCG, CSC","-","- do -","50","Paddy, Jute, Groundnut, 
Green gram","06727- 
20398","-","At. P.O.: Kendrapara"
"6.","Mahakalapada","NRM","-","-","- do -","85","Paddy, Jute, Groundnut, 
Grams","-","-","At. P.O.: Mahakalapada"
"7.","Marshaghai","RSM","MCG","-","- do -","60","Jute, Groundnut, Pulses, 
Vegetables","-","-","At.P.O.: Marshaghai"
"8.","Pattamundai","RSM","- do -","-","- do -","70","Paddy, Green gram, 
Jute, Vegetables","-","","At.P.O.: Pattamundal"
"9.","Rajnagar","NRM","-","-","- do -","100","- do -","-","-","At.P.O. Rajnagar"
