"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Distance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"14.","JHARSUGUDA 
(5)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Jharsuguda","RPM","FCG, 
SWG, CSC","PRC","Jharsuguda","1","Paddy, Chillies, Ginger, 
Potato,","06645-
73294","-","At. P.O.: Jharsuguda"
"2.","Karpabahal","RSM","-","-","- do -","20","- do -","-","-","At. P.O.: Karpabahal"
"3.","Rajpur","- do -","-","-","- do -","32","- do -","-","-","At.P.O.: Rajpur"
"4.","Rengali","- do -","Nil","-","- do -","45","- do -","-","-","At. P.O.: Rengali"
"5.","Talpatia","- do -","-","-","- do -","48","Paddy, Chillies, Ginger, 
Potato, Cattle","-","-","At. P.O.: Talapatia"
