"Name of wholesale 
assembling market","","State of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Distance 
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"5.","BOLANGIR 
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bhaliamunda","RSM","-","-","Lusinga","3","Grams, Onion, 
Vegetables","-","-","At : Bhaliamunda        
P.O.: Aglapali"
"2.","Bija Khuman","- do -","-","-","Bolangir","8","- do -","-","-","At. P.O.: Bijakhuman"
"3.","Bolangir","RPM","MCG, 
WBG, FCG, 
CSC, SWG","-","- do -","4","Paddy","31901- 
06652","For Paddy","At.P.O.: Bolangir"
"4.","Butherbahal","RSM","-","-","- do -","22","Grams, Vegetables","-","-","At. P.O.: Butherbanhal"
"5.","Chudapali","- do -","MCG","-","- do -","20","Onion, Grams, Green 
Vegetables","-","-","At.P.O.: Chudapali"
"6.","Jogimunda","- do -","-","-","Kantabanji","50","Cotton, Paddy, Cattle","-","-","At. P.O.: Jogimunda"
"7.","Kantabanji","RPM","RCG, SWG, 
FCG","-","- do -","4","Onion, Cotton, Paddy, 
Cattle","06656- 
20854","For Paddy","At.P.O.: Kantabanji"
"8.","Kusang","NRM","-","-","Khaliapali","10","Paddy","-","-","At. Kusang P O : 
Salebhata"
"9.","Lathore","- do -","-","-","Harishankar 
Road","2","- do -","-","-","At.P.O.: Lathore"
"10.","Roth","- do -","-","-","Khaliapali","15","Cattle, Vegetable","-","-","At. P.O.: Roth"
"11.","Saintala","- do -","-","-","Saintala","1","Paddy","-","-","At.P.O.: Saintala"
"12.","Titlagarh","RSM","CSG, SWG","-","Titlagarh","2","Paddy, Onion","-","-","At.P.O.: Titlagarh"
"13.","Tushra","- do -","MCG","-","Deogaon","6","Paddy","-","-","At.P.O.: Tushra"
