"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"27.","RAYAGADA   
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Amlabhat","RSM","MCG","Nil","Rayagada","10","Cattle","Nil","Nil","At.P.O.: Amalbhat"
"2.","Bhaleri","- do -","MCG, CSC","- do -","Bissam Cuttack","30","Niger seed, Mustard, 
Turmeric, Vegetables","- do -","- do -","At.P.O.: Bhaleri"
"3.","Bhamini","NRM","-","- do -","- do -","43","Cattle","- do -","- do -","At.P.O.: Bhamini"
"4.","Chatilkona","- do -","MCG","- do -","- do -","3","Mango, Jackfruit, 
Vegetables","- do -","- do -","At.P.O.: Chatikona"
"5.","Dukum","RSM","-","- do -","- do -","25","Maize, Niger seed, Sesame, 
Vegetables","- do -","- do -","At.P.O.: Dukum"
"6.","Gumma","- do -","MCG, CSC","- do -","Rayagada","23","Niger seed, Turmeric, 
Paddy, Gram","- do -","- do -","At.P.O.: Gumma"
"7.","Gunupur","RPM","SWG, RCG, 
CSC","- do -","Bissam Cuttack","28","Niger seed, Turmeric, 
Sesame, Blackgram","06857-
20009","- do -","At.P.O.: Gunupur"
"8.","Kasipur","RSM","MCG, CSC","- do -","Tikiri","30","Sesame, Niger seed, Grams, 
Mustard","Nil","- do -","At. P.O.: Kasipur"
"9.","Majhiguda","NRM","-","- do -","Rayagada","35","Cattle, Vegetables","- do -","- do -","At.P.O.: Majhiguda"
"10.","Mukundpur","RSM","-","- do -","- do -","20","Ragi, Niger seed, Paddy, 
Grams","- do -","- do -","At.P.O.: 
Mukundpur"
"11.","Muniguda","NRM","CSC","- do -","Munigudo","0","Paddy, Potato, Cotton, Hill 
gram","- do -","- do -","At. P.O.: 
Muniguda"
"12.","Rayagada","RPM","FCG, CWG, 
CSC, WBG, 
MCG, SWG","PRC","Rayagada","4","Paddy, Cotton, Vegetables","06856-
25262","- do -","At.P.O.: Rayagada"
"13.","Tikiri","RSM","MCG, CSC","Nil","Tikiri","1","Niger seed, Gram, Paddy","-","- do -","At.P.O.: Tikiri"
