"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Distance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"15.","KALAHANDI 
(29)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"16.","Kalamput","NRM","-","-","Kesinga","78","Paddy","-","-","At. P.O.: Kalamput"
"17.","Kalarapada","RSM","-","-","- do -","45","Cotton","-","-","At. P.O.:Kalrapada"
"18.","Kesinga","RPM","CSC, MCG, 
FCG, CWG, 
SWG, WBG","-","- do -","3","Paddy, Cotton","06670-
22202","-","At. P.O.: Kesinga"
"19.","Koksara","RSM","MCG, 
WBG, CSC","-","- do -","75","Paddy","-","-","At. P.O.: Koksara"
"20.","Mohangiri","NRM","-","-","- do -","80","- do -","-","-","At. P.O.: Mohangiri"
"21.","M.Rampur","NRM","-","-","- do -","45","- do -","-","-","At.P.O.: M.Rampur"
"22.","Mukhiguda","RPM","MCG, 
RCG","-","- do -","105","Paddy, Cattle","06673-
50217","-","At. P O : Jaipatna"
"23.","Palam","NRM","-","-","- do -","20","Paddy, Cotton","-","-","At. P.O.: Palam"
"24.","Pastikuda","RSM","-","-","- do -","22","Paddy, Cattle","-","-","At. P.O.: Pastikuda"
"25.","Ranmal","- do -","MCG","-","- do -","73","Paddy, Grams. Cattle","-","-","At. P.O.: Ranmal"
"26.","Risida","- do -","- do -","-","- do -","45","Paddy. Cattle","-","-","At. P.O.: Risido"
"27.","Santpur","NRM","-","-","Narla Rd.","10","Paddy, Cotton","-","-","At. P.O. : Santpur"
"28.","Uchhala","- do -","MCG","-","Kesinga","135","Cotton","-","-","At.  P.O.: Uchhala"
"29.","Utkela","RSM","MCG, RCG","-","- do -","15","Paddy, Cotton. Cattle","-","-","At. P.O.: Utkela"
