"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Distance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"16.","KANDHAMAL 
(8)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Baliguda","RSM","CSC","-","Berhampur","180","Turmeric, Ginger, 
Sesame, Cattle","-","-","At. P.O.: Baliguda"
"2.","Chakapda","- do -","MCG","-","- do -","140","Cattle","-","-","At. P.O.: Chakapada"
"3.","Daringibadi","- do -","CSC","-","- do -","200","Turmeric, Ginger, 
Sesame, Mustard","-","-","At.P.O.: Daringibadi"
"4.","G. Udyagiri","- do -","MCG","-","- do -","100","Turmeric, Ginger, 
Onion, Grams","","-","At. P.O.: Udayagiri"
"5.","Kandhamal","RPM","CSC, FCG","PRC","- do -","145","- do -","-","-","At. P.O.: Kandhamal"
"6.","Phiringa","NRM","-","-","- do -","150","Turmeric, Ginger, 
Cattle, Hillgram","-","-","At. P.O.: Phiringa"
"7.","Raikia","RPM","MCG, CSC","-","- do -","123","Ginger, Turmeric, 
Cattle, Groundnut","06847- 
42122","-","At.P.O.: Raikia"
"8.","Tikabali","RSM","- do -","-","- do -","120","Turmeric, Groundnut, 
Cattle, Grams","-","-","At.P.O.Tikabali"
