"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Distance 
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"7.","CUTTACK 
(13)","","","","","","","","",""
"","1.","2.","3.","4.","5.","6.","7.","8.","9.","10."
"1.","Athagarh","NRM","CSC","-","R.Athagarh","22","Cattle","","-","At. P.O.: Athagarh"
"2.","Banki","RPM","SWG, 
MCG, CSC","CSC","Khurda RD","40","Potato, Green 
Vegetables, Jaggery","(06723)-
40258","Yes","At. P.O.: Banki"
"3.","Baraput","RSM","MCG","-","- do -","67","Green Vegetables, 
Potato","-","-","At.P.O.: Baraput"
"4.","Champeswar","NRM","-","-","R.Athagarh","80","Cattle","-","-","At. P.O.: Champeswar"
"5.","Kalapathar","RSM","MCG","-","Kurda RD","39","Green Vegetables","-","-","At.P.O.: Kalapathar"
"6.","Kendupatna","RPM","MCG, CSC, 
PSG","-","Kendrapara 
Road","25","Green Gram, Jute, 
Groundnut","-","Yes","At. P.O.: Kendupatna"
"7.","Mahanga","RSM","MCG, WBG","-","- do -","35","Green Gram, Jute, 
Groundnut, Paddy","-","-","At.P.O.: Mahanga"
"8.","Narasinghpur","RPM","-","-","R.Athagarh","60","Green Vegetables, 
Potato, Jaggery","-","-","At. P O : Narasinghpur"
"9.","Niali","NRM","-","-","Bhubaneshwar","30","Paddy,  Potato, Green 
vegetables","-","-","At.P.O.: Niali"
"10.","Nischintakoili","RSM","MCG","PRC","Kendrapara RD","33","Grams, Paddy, Jute","-","-","At. P.O.: Nischintakoili"
"11.","Nuapatna","NRM","-","-","R.Athagarh","34","Cattle","-","-","At.P.O.: Nuapatna"
"12.","Salipur","RSM","WBG, 
MCG, CWC","CSC","Kendrapara RD","20","Groundnut, Paddy, 
Jute, Grams","-","-","At.P.O.: Salipur"
"13.","Tangi","- do -","","-","Keonjhar RD","7","Cattle","-","-","At.P.O.: Tangi"
