"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Distance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"11.","GANJAM 
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bhanjanagar","RPM","CSC, 
WBG","-","Berhampur","80","Green chillies, Onion, 
Ginger","06821-
40869","-","At. P.O.: Bhanjanagar"
"2.","Digapahandi","- do -","-","-","- do -","30","Paddy, Cotton, Vegetables","-","-","At. P.O.: Digapahandi"
"3.","Hinglicut","- do -","MCG","-","- do -","22","Cattle, Paddy, Maize, 
Onion","06811-
80036","-","At.P.O.: Hinjlicut"
"4.","Humma","NRM","-","-","Humma","1","Dry Fish, Fish, Vegetables","-","-","At. P.O.: Humma"
"5.","Jilandi","- do -","-","-","Berhampur","76","Paddy","-","-","At. Jilandi  P.O.: 
Bhanjanagar"
"6.","Khalikote","- do -","-","-","Keshpur","8","Cattle","-","-","At.P.O.: Khalikote"
"7.","Khetriberhampur","- do -","-","-","Berhampur","90","Paddy","-","-","At. P O : 
Khetriberhampur"
"8.","Konis","- do -","-","-","- do -","4","Paddy, Jaggery","-","-","At.P.O.: Konis"
"9.","Kulat","- do -","-","-","- do -","85","- do -","-","-","At. P.O.: Kulat"
"10.","Narendrapur","- do -","-","-","Jaganathpur","3","Onion, Green vegetables","-","-","At.P.O.: Narendrapur"
"11.","Rambha","RSM","-","-","Rambha","2","Fish, Dry Fish","-","-","At.P.O. : Rambha"
"12.","Relaba","- do -","-","-","Berhampur","30","Betel leaves, Paddy, Cattle","-","-","At. P.O.: Relaba"
"13.","Sahaspur","- do -","-","-","- do -","25","Paddy, Cotton, Vegetables","-","-","At.P.O.: Sahaspur"
