"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"14.","RAIPUR 
 (18)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Abhanpur","RPM","MCG -1","NIL","Abhanpur","2","Paddy, Tiwra, Gram, Wheat","0771, 74224","NIL","See K.U.M., Abhanpur"
"2.","Arang","RPM","MCG -1","NIL","Arang","2","- do -","07720, 
58236","NIL","See, K.U.M., Arang"
"3.","Balodobazar","RPM","NIL","NIL","Bhatapara","20","- do -","07727, 
22793","NIL","See, K.U.M., 
Balodabazar"
"4.","Bhatapara","RPM","MCG -2","NIL","- do -","2","- do -","07726, 
20415","NIL","See, K.U.M., Bhatapara"
"5.","Bhatgaon","RPM","NIL","NIL","- do -","80","- do -","NIL","NIL","See, K.U.M., Bhatgaon"
"6.","Chhura *","RSM","NIL","NIL","NIL","NIL","NIL","NIL","NIL","NIL"
"7.","Devabhog *","RSM","NIL","NIL","NIL","NIL","NIL","NIL","NIL","NIL"
"8.","Gariaband","RPM","NIL","NIL","Rajim","45","Paddy, Tiwra, Gram, Wheat","07706, 
41228","NIL","See, K.U.M., 
Gariaband"
"9.","Kasdol","RPM","MCG -1","NIL","Bhatapara","50","- do -","07728, 
51217","NIL","See K.U.M., Kasdol"
"10.","Kharora","RSM","MCG -1","NIL","Raipur","40","- do -","NIL","NIL","Sub Mandi of Principal 
Mandi, Neora"
"11.","Nawapara","RPM","MCG -1","NIL","Rajim","1","- do -","077183, 
33817","NIL","See K.U.M., Nawapara"
"12.","Neora","RPM","MCG -2","NIL","Neora","3","- do -","07721, 
44349","NIL","See K.U.M., Neora"
"13.","Raipur","RPM","MCG -2","NIL","Raipur","4","Paddy, Wheat, Gram, Tiwra","0771, 
582011","NIL","See, K.U.M., Raipur"
"14.","Rajim","RPM","MCG -1","NIL","Rajim","3","Paddy, Tiwra, Gram, Wheat","077183, 
33474","NIL","See, K.U.M., Rajim"
"15.","Rasotpalari","RSM","NIL","NIL","NIL","NIL","NIL","NIL","NIL","NIL"
"16.","Sarsiva","RSM","NIL","NIL","Bhatapara","95","Paddy, Tiwra, Gram, Wheat","NIL","NIL","Sub Mandi of Principal 
Market, Bhatgaon"
"17.","Silyari","RSM","MCG -1","NIL","Silyari","2","Paddy, Wheat, Gram, Tiwra","NIL","NIL","Sub Mandi of Principal 
Market, Raipur"
"18.","Simga","RSM","MCG -1","NIL","Neora","15","Paddy, Tiwra, Gram, Wheat","NIL","NIL","Sub Mandi of Principal 
Market, Bhatapara."
