"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"5.","DURG 
(14)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Balod","RPM","MCG 1","NIL","Balod","2","Paddy, Tiwra, Gram, 
Wheat","07749, 
22017","NIL","Sec : K.U.M., Balod"
"2.","Bemetra","RPM","MCG 2","NIL","Neora","45","Paddy, Tiwra, Gram, 
Soyabean","07824,  
22234","NIL","Sec. : K.U.M., Bemetra"
"3.","Berla *","RSM","NIL","NIL","NIL","N.A.","N.A.","NIL","NIL","N.A."
"4.","Bhilai *","RSM","NIL","NIL","NIL","N.A.","N.A.","NIL","NIL","N.A."
"5.","Dhamda","RSM","MCG 1","NIL","Durg","35","Paddy, Gram, Tiwra, 
Wheat","NIL","NIL","Sub-Mandi of Principal Mandi , 
Durg"
"6.","Thankamaria","RSM","NIL","NIL","Durg","60","Paddy, Tiwra, Gram, 
Soyabean","NIL","NIL","Sub-Mandi of Principal Mandi 
Bemetra"
"7.","Dondi","RSM","NIL","NIL","Balod","30","Paddy, Tiwra, Gram, 
Wheat","NIL","NIL","Sub-Mandi of Principal Market, 
Balod"
"8.","Dondilohara","RSM","MCG 1","NIL","Balod","15","- do -","NIL","NIL","- do -"
"9.","Durg","RPM","MCG 3","NIL","Durg","1.5","Paddy, Gram, Tiwra, 
Wheat","07881, 
322642","NIL","See, K.U.M., Durg"
"10.","Mujagahan *","RSM","NIL","NIL","NIL","N.A.","N.A.","NIL","NIL","N.A."
"11.","Nawagarh *","RSM","NIL","NIL","NIL","N.A.","N.A.","NIL","NIL","N.A."
"12.","Patan","RSM","MCG 1","NIL","Durg","40","Paddy, Gram, Tiwra, 
Wheat","NIL","NIL","Sub-Market of Principal 
Market, Durg"
"13.","Saja","RSM","NIL","NIL","Neora","52","Paddy, Tiwra, Gram, 
Wheat","NIL","NIL","Sub-Market of Principal 
Market, Bametra"
"14.","Sambalpur","RSM","NIL","NIL","Bhatapara","40","- do -","NIL","NIL","- do -"
