"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"15.","RAJNANDGAON 
(7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bandhabazar","RPM","MCG -3","NIL","Rajnandgaon","50","Paddy, Tiwra, Gram, 
Wheat","07747, 
30405","NIL","See, K.U.M., 
Bandhabazar"
"2.","Churia","RPM","MCG -1","NIL","Dongargarh","30","Paddy, Wheat, Tiwra, 
Gram","07745, 
51236","NIL","See, K.U.M., Churia"
"3.","Dongargaon","RPM","MCG -1","NIL","Rajnandgaon","27","- do -","07745, 
71680","NIL","See, K.U.M., 
Dongargaon"
"4.","Dongargarh","RPM","MCG -1","NIL","Dongargarh","1","Paddy, Tiwra, Gram, 
Soy.","07823, 
32788","NIL","See, K.U.M., 
Dongargarh"
"5.","Gandai","RPM","NIL","NIL","- do -","60","- do -","07743, 
57393","NIL","See, K.U.M., Gandai"
"6.","Kheragarh","RPM","NIL","NIL","- do -","30","Paddy, Gram, Soy., 
Tiwra","07820, 
34440","NIL","See, K.U.M., 
Kheragarh"
"7.","Rajnandgaon","RPM","MCG -2 
SWG -3","NIL","Rajnandgaon","3","Paddy, Tiwra, Gram, 
Soy.","07744, 
24179","NIL","See, K.U.M., 
Rajnandgaon"
"16.","SARGUJA 
(6)","","","","","","","","",""
"1.","Ambikapur","RPM","NIL","NIL","Bisrampur","50","Paddy, Wheat, 
Maize, Groundnut","07774, 
20854","NIL","See, K.U.M., 
Ambikapur"
"2.","Kusmi","RPM","NIL","NIL","- do -","150","Paddy, Maize, 
Wheat, Groundnut","NIL","NIL","See, K.U.M., Kusmi"
"3.","Pratappur","RPM","NIL","NIL","- do -","60","Paddy, Wheat, 
Groundnut, Maize","07777, 
71225","NIL","See, K.U.M., Pratappur"
"4.","Ramanujganj","RPM","MCG -2","NIL","- do -","150","Paddy, Wheat, 
Groundnut, Linseed","07779, 
73332","NIL","See, K.U.M., 
Ramanujganj"
"5.","Sitapur","RPM","NIL","NIL","- do -","110","Paddy, Wheat, Veg., 
Groundnut","NIL","NIL","See, K.U.M., Sitapur"
"6.","Surajpur","RPM","MCG -1","NIL","Surajpur","10","Paddy, Wheat, 
Groundnut, Linseed","07775, 
66421","NIL","See, K.U.M., Surajpur"
