"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"6.","JANIGEER 
 (10)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Akaltara","RPM","MCG -2","NIL","Akaltara","3","Paddy, Wheat, Maize, 
Greengram, Blackgram","82224","NIL","See, K.U.M., Akaltara"
"2.","Badadwar","RSM","MCG -1","NIL","Badadwar","2","- do -","NIL","NIL","Sub Mandi of Principal 
Mandi Sakti"
"3.","Chandrapur","RSM","MCG -1","NIL","- do -","25","- do -","NIL","NIL","- do -"
"4.","Champa","RPM","MCG -1","NIL","Champa","3","- do -","078194,45808","NIL","See, K.U.M., Champa"
"5.","Hasod","RSM","MCG -1","NIL","Badadwar","25","- do -","NIL","NIL","Sub Mandi of Principal 
Mandi, Sakti"
"6.","Kotmi","RSM","MCG -1","NIL","Sakti","45","- do -","NIL","NIL","Sub Mandi of Principal 
Mandi Sakti"
"7.","Nela","RPM","MCG -3","NIL","Nela","3","Paddy, Wheat, Tiwra, Gram","07817, 22268","NIL","See, K.U.M., Nela"
"8.","Raviod","RSM","MCG -1","NIL","Akaltara","40","Paddy, Wheat, Maize, 
Greengram, Blackgram","NIL","NIL","Sub, MaNDI OF 
principal Mandi, 
Akaltara"
"9.","Sakti","RPM","MCG -1","NIL","Sakti","3","- do -","07757, 33206","NIL","See, K.U.M., Sakti"
"10.","Virra","RSM","NIL","NIL","Champa","20","- do -","NIL","NIL","Sub, Mandi of Principal 
Mandi Champa"
"7.","JASHPUR 
(6)","","","","","","","","",""
"1.","Bagecha","RPM","NIL","NIL","Raigarh","150","Wheat, Maize, Paddy, 
Greengram, Blackgram","07565,  20654","NIL","See, K.U.M., Bageecha"
"2.","Dharamjaigarh","RSM","MCG -1","NIL","- do -","70","Paddy, Wheat, Groundnut, 
Greengram, Blackgram","NIL","NIL","Sub Mandi of Principal 
Mandi, Pathalgaon."
"3.","Jashpurnagar","RPM","NIL","NIL","- do -","200","Wheat, G. gram, B. gram, 
Maize, Groundnut","07763,  23788","NIL","See, K.U.M., 
Jashpurnagar"
"4.","Kotba","RSM","NIL","NIL","- do -","85","Paddy, Wheat, Groundnut, 
G. gram, B. gram","---","NIL","Sub mandi of Principal 
mandi, Pathalgaon."
"5.","Kunkuri","RPM","NIL","NIL","- do -","130","Paddy, B. gram, G. gram, 
Gingili, Wheat","07764, 50302","NIL","See, K.U.M., Kunkuri"
"6.","Pathalgaon","RPM","NIL","NIL","- do -","100","Paddy, Wheat, Fruits, 
Vegetables","NO","NIL","Sub Mandi of Principal 
mandi, Pathalgaon."
