"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"1.","BASTAR 
(Jagdalpur) 
(22)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"12.","Keshkal","RPM","MCG 1","NIL","Dhamtari","70","Paddy, Maize, Blackgram, 
Greengram, Gingili","07848, 
59214","NIL","See K.U.M. Keshkal."
"13.","Kondagaon","RPM","NIL","NIL","Jagdalpur","45","Paddy,  Maize,  Greengram, 
Blackgram, Jowar","07786, 
42253","NIL","Ssee K.U.M., Kondagaon"
"14.","Kunker","RSM","NIL","NIL","NIL","NIL","NIL","NIL","NIL","NIL"
"15.","Lohandiguda","RSM","NIL","NIL","Jagdalpur","38","Paddy, Wheat,  Blackgram, 
Greengram, Maize","NIL","NIL","Sub Mandi of Principal 
Mandi, Jagdalpur"
"16.","Makdi","RSM","NIL","NIL","- do -","42","Paddy,  Maize,  Blackgram, 
Greengram, Jowar","NIL","NIL","Sub Mandi of Principal 
mandi, Kondagaon"
"17.","Mardapal","RSM.","NIL","NIL","- do -","51","- do -","NIL","NIL","- do -"
"18.","Muli","NRM","MCG -1","NIL","- do -","30","Paddy, Wheat,  Blackgram, 
Greengram, Maize","NIL","NIL","Sub mandi of Principal 
mandi, Jagdalpur"
"19.","Narayanpur","RPM","MCG -1","NIL","- do -","69","Paddy,  Maize, Greengram, 
Blackgram, Maize","07781, 
52264","NIL","See K.U.M., Narayanpur"
"20.","Pharasgaon","RSM","MCG -1","NIL","- do -","35","- do -","NIL","NIL","Sub mandi of Principal 
Mandi, Kondagaon"
"21.","Tokapal","RSM","MCG -1","NIL","- do -","20","Paddy, Wheat, Blackgram, 
Greengram, Maize","NIL","NIL","Sub Mandi of Jagdalpur"
"22.","Vishrampuri","RSM","MCG -2","NIL","- do -","62","Paddy,  Maize, Blackgram, 
Greengram, Gingili","NIL","NIL","Sub Mandi of Keshkal."
