"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"3.","DANTEWADA 
(6)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Beejapur","RPM","NIL","NIL","Geedam","100","Paddy, Maize, 
Greengram, 
Blackgram","NIL","NIL","See K.U.M., Beejapur"
"2.","Bhairamgarh","RSM","NIL","NIL","- do -","50","- do -","NIL","NIL","Sub Mandi of Beejapur"
"3.","Bhopalpatnam *","RPM","NIL","NIL","- do -","150","N.A.","NIL","NIL","NIL"
"4.","Dondrakonta","RPM","NIL","NIL","- do -","165","Paddy, Wheat, 
Gingili, Maize","07856, 
84352","NIL","See K.U.M. Dondrakanta"
"5.","Dornpal  *","RSM","NIL","NIL","NIL","NIL","N.A.","NIL","NIL","NIL"
"6.","Geedam","RPM","MCG -1","NIL","Geedam","4","Paddy, Maize, 
Mustard, Wheat","07856, 
44425","NIL","See K.U.M. Geedam, Distt. 
Dantewada"
"4.","DHAMTARI 
(13)","","","","","","","","",""
"1.","Amdi","RSM","MCG -1","NIL","Dhamtari","12","Paady, Tiwra, Gram, 
Wheat","NIL","NIL","Sub Mandi of Principal Mandi, 
Dhamtari"
"2.","Belarbahara *","RSM","NIL","NIL","- do -","100","N.A.","NIL","NIL","NIL"
"3.","Belargaon *","RSM","NIL","NIL","- do -","125","N.A.","NIL","NIL","NIL"
"4.","Belora *","RSM","NIL","NIL","Kurd","20","N.A.","NIL","NIL","NIL"
"5.","Bhakhara","RSM","MCG -1","NIL","- do -","25","Paddy, Tiwra, Gram, 
Wheat","NIL","NIL","Sub Mandi of Principal Mandi, 
Kurud"
"6.","Borai","RSM","NIL","NIL","Dhamtari","100","N.A.","NIL","NIL","NIL"
"7.","Dhamtari","RPM","MAG -1","NIL","- do -","11","Paddy, Tiwra, Gram, 
Wheat","07722, 
40967","NIL","See K.U.M., Dhamtari"
"8.","Gattasilli *","RSM","NIL","NIL","- do -","75","N.A.","NIL","NIL","NIL"
"9.","Kurud","RPM","MCG 1","NIL","Kurd","2","Paddy, Tiwra, Gram, 
Wheat","07705, 
23139","NIL","See K.U.M. Kurud"
"10.","Magarlod","RSM","MCG -1","NIL","- do -","15","- do -","NIL","NIL","Sub Mundi of Kurud"
"11.","Nagri","RPM","MCG -1","NIL","Dhamtari","80","Paddy, Maize, 
Greengram, Soy.","07707, 
51230","NIL","See K.U.M., Nagri"
"12.","Sinpur","RSM","NIL","NIL","- do -","120","N.A.","NIL","NIL","NIL"
"13.","Sirri","RSM","NIL","NIL","Kurd","35","Paddy, Tiwra, Gram, 
Wheat","NIL","NIL","Sub Mandi of Principal Mandi, 
Kurud"
