"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"8.","KANKER 
 (10)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Amoda","RSM","NIL","NIL","Dhamtari","80","Paddy, Wheat, Maize, 
Greengram, Blackgram","NIL","NIL","Sub Mandi of Principal 
Mandi, Kanker"
"2.","Charama","RPM","MCG -2","NIL","- do -","30","- do -","07768, 63231","NIL","See, K.U.M., Charama"
"3.","Devaribar","RSM","MCG -2","NIL","- do -","50","- d0 -","NIL","NIL","Sub Mandi of Principal 
Mandi, Charama"
"4.","Dudhava *","RSM","NIL","NIL","NIL","NIL","NIL","NIL","NIL","NIL"
"5.","Kanker","RPM","MCG -1","NIL","Dhamtari","60","Paddy, Wheat, Maize, 
Greengram, Blackgram","07768, 22045","NIL","See, K.U.M., Kanker"
"6.","Korar","RSM","NIL","NIL","Jagdalpur","45","Paddy, Maize, Greengram, 
Blackgram, Gingili","NIL","NIL","Sub mandi of Principal 
Mandi, Sambalpur"
"7.","Lakhanpuri","RSM","MCG -1","NIL","- do -","45","Paddy, Wheat, Maize, 
Greengram, Blackgram","NIL","NIL","Sub Mandi of Principal 
Mandi Charama"
"8.","Narharpur","RSM","MCG -1","NIL","- do -","25","NIL","NIL","NIL","- do -"
"9.","Sambalpur","RPM","NIL","NIL","- do -","39","Paddy, Maize, Greengram, 
Blackgram","07768, 52339","NIL","See, K.U.M. Sambalpur"
"10.","Sarona","RSM","MCG -1","NIL","Dhamtari","30","Paddy, Wheat, Maize, 
Greengram, Blackgram","NIL","NIL","Sub Mandi of Principal 
Mandi Kanker"
