"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"1.","AIZAWAL     
(3)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bawngkawn","NRM","-","-","Bairabi","114","Vegetables, Fruits, 
Poultry, Spices","0389- 
341443","-","Bawngkawn Bazar, Aizawal,    
PIN-796 012"
"2.","Mission veng","- do -","SFG","-","- do -","118","Vegetables, Fruits, 
Cattle, Spices","-","-","Mission Veng Bazar, Aizwal,   
PIN-796005"
"3.","New Market","- do -","- do -","PSG*","- do -","117","Vegetables, Meat, 
Poultry, Fruits","0389- 
313562","-","New Market, Dawrpui, Aizwal,  
PIN-796001"
"2.","CHAMPHAI 
(1)","","","","","","","","",""
"1.","Champhai 
Market","NRM 
- 
- 
Bairabi 
311 
Vegetables, Fruits, 
- 
- 
Champhai Market Vengthlang, 
Cattle 
Champhai, PIN-796321","","","","","","","",""
"3.","KOLASIB       
(3)","","","","","","","","",""
"1.","Bairabi","NRM","FCG","-","Bairabi","0","Vegetables, Spices, 
Fruits, Foodgrains","-","-","Bairabi Bazar, Near Rail Stn. 
Kolasib, PIN-796081"
"2.","Kolasib","- do -","-","-","- do -","34","Fruits, Vegetables, 
Cattle","03837- 
61234","-","Diakkawn Kolasib, Kolasib,     
PIN-796081"
"3.","Vairengte","- do -","SFG","-","Silchar 
(Assam)","48","Vegetables, Poultry, 
Fish,  Fruits, Spices","-","-","Zalen Veng,  Vairengte, Kolasib,   
PIN – 796 101"
"4.","LAWNGTLAI 
(1)","","","","","","","","",""
"1.","Lawngtlai 
Market","NRM 
- do - 
- 
Bairabi 
413 
Vegetables, Fruits, 
- 
- 
Lawngtlai Bazar, Lawngtlai,     
Spices 
PIN-796891","","","","","","","",""
